id,valor,categoria,hora,is_fraud
1,674.14,C,4,1
2,529.36,A,11,0
3,1645.26,B,1,0
4,229.59,A,10,0
5,44.7,D,12,0
6,412.42,B,12,0
7,293.88,C,20,0
8,280.86,C,17,0
9,331.36,C,19,0
10,181.53,A,17,0
11,253.37,D,19,0
12,154.0,C,10,0
13,388.57,C,16,0
14,1662.23,C,18,0
15,6320.08,A,19,0
16,7267.51,A,20,0
17,330.91,A,13,0
18,42.12,C,8,0
19,82.43,C,2,0
20,262.61,D,11,0
21,60.86,C,13,0
22,574.04,D,0,0
23,174.61,B,20,0
24,437.57,C,8,0
25,243.1,C,11,0
26,77.94,D,14,0
27,113.43,C,23,0
28,10969.31,D,4,0
29,8.48,B,16,0
30,246.0,A,0,0
31,3314.65,D,21,0
32,6205.29,D,18,0
33,113.46,C,16,0
34,15.48,D,20,0
35,757.32,A,11,0
36,78.37,D,18,0
37,616.31,C,6,0
38,189.47,B,5,0
39,384.05,C,15,0
40,936.47,B,14,0
41,107.19,B,12,0
42,110.39,B,21,0
43,828.88,B,11,0
44,251.15,A,19,0
45,256.26,C,10,0
46,7.21,A,12,0
47,5699.42,C,4,0
48,149.28,B,12,0
49,49999.9,B,20,0
50,310.96,D,4,0
51,1211.94,A,9,0
52,872.17,A,21,0
53,837.89,C,21,0
54,256.18,B,13,0
55,815.58,B,21,0
56,76.67,D,9,0
57,60.06,C,9,0
58,431.0,A,11,0
59,74.22,A,5,0
60,118.14,C,12,0
61,95.88,C,12,0
62,206.06,D,0,0
63,18.83,B,20,0
64,215.35,A,12,0
65,528.75,C,11,0
66,214.62,A,12,0
67,55.62,D,23,0
68,283.93,D,14,0
69,779.39,A,1,0
70,801.58,B,5,0
71,140.28,D,11,0
72,430.8,C,19,0
73,33.22,A,12,0
74,9309.44,A,0,0
75,228.11,C,20,0
76,515.27,C,20,0
77,669.57,B,8,0
78,239.78,B,6,0
79,4022.54,B,4,0
80,3.68,C,13,0
81,940.22,D,19,1
82,18.19,D,20,0
83,520.94,D,20,1
84,19.98,C,14,0
85,335.92,D,21,0
86,78.94,A,4,0
87,800.66,B,13,0
88,2794.22,D,12,0
89,274.02,D,19,0
90,139.58,C,17,0
91,123.54,C,9,0
92,51.54,C,12,0
93,11.26,C,21,0
94,2524.82,A,19,0
95,1855.97,C,15,0
96,1083.13,D,21,0
97,1868.86,C,12,0
98,896.67,A,20,0
99,8.48,C,20,0
100,141.73,B,11,0
101,1237.97,C,13,0
102,935.16,A,15,0
103,610.9,D,21,1
104,180.9,B,13,0
105,225.31,D,17,0
106,102.93,C,7,0
107,1062.17,B,3,0
108,8.25,D,21,0
109,69.31,A,12,0
110,36.71,C,18,0
111,79.64,A,19,0
112,2009.12,B,10,0
113,507.81,C,21,0
114,113.11,B,12,0
115,123.24,A,20,0
116,468.37,A,16,0
117,153.83,B,20,0
118,1002.14,C,8,0
119,145.93,B,20,0
120,177.85,B,9,0
121,15.59,D,20,0
122,328.92,A,21,0
123,107.67,C,10,0
124,5382.43,D,14,0
125,8.57,D,4,0
126,320.18,D,11,0
127,680.45,D,5,0
128,185.43,A,10,0
129,42.44,C,19,0
130,374.14,A,8,0
131,111.95,A,3,0
132,936.75,C,21,0
133,13.54,A,13,0
134,36.27,D,1,0
135,3320.07,A,20,0
136,345.86,D,14,0
137,13.96,A,9,0
138,250.56,A,1,0
139,1181.91,D,11,0
140,19.1,C,6,0
141,88.83,B,0,0
142,301.98,D,20,0
143,76.09,A,21,0
144,255.76,D,21,0
145,210.62,B,20,0
146,472.25,A,20,0
147,679.87,C,12,0
148,65.13,C,4,0
149,548.64,B,4,0
150,2133.62,D,23,0
151,980.78,B,19,0
152,3334.87,C,0,0
153,360.8,C,9,0
154,2768.66,C,11,0
155,6.01,A,19,0
156,557.83,C,6,1
157,10.59,A,12,0
158,62.14,A,11,0
159,9554.43,C,17,0
160,8.89,A,18,0
161,41.14,D,3,0
162,107.61,A,9,0
163,117.88,D,9,0
164,76.31,C,23,0
165,1206.2,B,7,0
166,625.02,D,6,0
167,131.47,A,11,0
168,14.55,D,5,0
169,526.63,C,3,0
170,256.48,B,5,0
171,303.56,C,1,0
172,1228.6,A,20,0
173,196.96,A,8,0
174,211.72,D,3,0
175,240.11,D,14,0
176,2425.23,B,11,0
177,16.3,D,9,0
178,110.74,B,20,0
179,1310.88,C,19,0
180,464.28,B,17,0
181,1894.81,C,13,0
182,563.72,D,10,0
183,4.1,D,13,0
184,356.9,B,20,0
185,408.54,C,19,0
186,120.56,B,15,0
187,650.23,A,23,0
188,76.76,D,16,0
189,44.39,C,14,0
190,80.99,D,23,0
191,53.15,C,16,0
192,2495.94,C,3,0
193,228.78,C,19,0
194,491.74,D,6,0
195,193.26,D,4,0
196,10.1,A,21,0
197,3457.44,C,15,0
198,750.56,C,0,0
199,92.1,B,23,0
200,119.2,C,20,0
201,5.0,C,13,0
202,124.62,C,1,0
203,488.42,D,11,0
204,40.62,A,10,0
205,23.54,D,21,0
206,4258.9,B,14,0
207,74.45,C,19,0
208,175.67,D,19,0
209,222.24,B,16,0
210,325.2,B,0,0
211,453.53,B,3,0
212,2639.22,C,13,0
213,8.59,C,0,0
214,6156.98,C,13,0
215,30.81,D,13,0
216,33.01,C,22,0
217,8.92,A,16,0
218,61.99,A,11,0
219,616.24,C,20,0
220,10.68,B,1,0
221,544.71,D,6,1
222,404.45,A,12,0
223,45.89,D,6,0
224,15386.19,B,12,0
225,1181.09,A,9,0
226,109.88,D,11,0
227,224.44,B,6,0
228,82.62,B,4,0
229,3214.04,C,3,0
230,24.66,B,12,0
231,1777.21,D,9,0
232,485.14,C,9,0
233,83.59,D,13,0
234,135.39,A,7,0
235,53.19,B,12,0
236,2389.67,B,20,0
237,1464.79,B,19,0
238,225.79,A,13,0
239,352.32,D,13,0
240,430.35,B,11,0
241,438.75,A,11,0
242,306.18,D,23,0
243,424.9,A,21,0
244,231.25,B,7,0
245,881.58,B,11,0
246,410.31,D,20,0
247,240.59,C,19,0
248,547.29,B,5,1
249,351.08,D,4,0
250,56.82,B,6,0
251,79.27,A,20,0
252,715.95,B,22,0
253,472.67,A,21,0
254,598.55,D,0,1
255,946.57,D,23,0
256,1090.6,D,23,0
257,5441.02,C,19,0
258,337.65,D,4,0
259,434.76,B,7,0
260,222.43,A,23,0
261,217.97,D,20,0
262,21.25,D,10,0
263,179.12,C,19,0
264,46.64,C,19,0
265,32.58,D,5,0
266,705.63,B,7,1
267,37.43,B,19,0
268,726.52,A,20,0
269,248.65,C,22,0
270,1.8,B,19,0
271,774.71,D,22,0
272,2628.2,D,19,0
273,500.89,B,20,1
274,951.24,A,3,1
275,103.2,D,17,0
276,2599.44,B,11,0
277,76.14,B,3,0
278,46.87,C,11,0
279,281.56,A,21,0
280,99.81,C,4,0
281,166.57,C,6,0
282,757.23,C,20,0
