id,valor,categoria,hora,is_fraud
1,689.08,A,20,0
2,37.88,B,13,0
3,1805.37,B,13,0
4,1401.39,B,19,0
5,310.0,C,20,0
6,3716.19,C,22,0
7,667.75,B,19,0
8,293.75,D,19,0
9,133.25,D,20,0
10,27.2,A,10,0
11,92.83,D,19,0
12,473.18,D,15,0
13,759.34,A,13,0
14,49999.9,C,2,1
15,4.99,B,23,0
16,14.58,C,19,0
17,107.25,C,22,0
18,545.33,A,14,0
19,272.26,D,0,0
20,162.14,D,14,0
21,480.53,D,3,0
22,804.0,A,21,0
23,22.53,B,13,0
24,10.38,C,23,0
25,120.45,C,9,0
26,1009.29,A,18,0
27,55.15,D,15,0
28,1611.09,C,17,0
29,257.93,D,11,0
30,6.07,B,20,0
31,89.11,B,7,0
32,9940.46,B,1,1
33,1314.88,D,19,0
34,40.98,D,6,0
35,116.6,D,19,0
36,169.67,C,13,0
37,123.18,C,11,0
38,95.44,D,13,0
39,368.79,A,12,0
40,52.88,B,21,0
41,1166.2,D,11,0
42,136.51,B,9,0
43,332.69,C,13,0
44,18.94,A,3,0
45,123.33,C,12,0
46,271.94,B,19,0
47,262.68,A,10,0
48,102.43,C,18,0
49,82.98,B,23,0
50,6193.71,D,11,0
51,443.9,C,11,0
52,1072.44,D,8,1
53,25.13,A,13,0
54,121.42,C,19,0
55,41.92,A,7,0
56,962.95,D,17,0
57,57.17,D,11,0
58,287.01,A,20,0
59,101.38,B,14,0
60,11.18,D,11,0
61,2166.67,B,11,0
62,929.39,B,22,0
63,157.09,D,22,0
64,337.08,C,20,0
65,7.11,B,12,0
66,264.39,C,20,0
67,545.52,D,19,0
68,24.84,A,14,0
69,11.99,D,11,0
70,77.44,D,12,0
71,4012.19,D,22,0
72,628.21,A,2,0
73,244.19,D,3,0
74,2998.85,B,12,0
75,196.88,C,11,0
76,30.21,A,10,0
77,78.46,D,1,0
78,153.63,D,21,0
79,1029.9,D,17,0
80,196.95,C,21,0
81,188.44,C,13,0
82,66.76,D,0,0
83,16.09,D,3,0
84,136.08,A,19,0
85,545.6,B,11,0
86,268.82,D,2,0
87,111.84,C,9,0
88,75.09,A,5,0
89,40.44,A,2,0
90,174.04,A,19,0
91,166.52,D,8,0
92,48.37,B,15,0
93,84.82,B,20,0
94,701.94,D,20,0
95,2685.59,C,23,0
96,1960.38,C,13,0
97,2843.44,B,20,0
98,3989.26,C,21,0
99,221.47,D,2,0
100,37.77,D,17,0
101,462.86,A,11,0
102,9912.22,A,9,0
103,82.04,B,19,0
104,91.37,C,12,0
105,16.33,B,21,0
106,85.47,D,10,0
107,20.28,A,11,0
108,58.2,B,23,0
109,262.12,D,20,0
110,268.69,C,14,0
111,8.66,A,21,0
112,4198.87,D,21,0
113,71.4,D,20,0
114,65.37,B,23,0
115,15.87,D,22,0
116,778.89,B,19,0
117,18.46,A,17,0
118,179.29,C,19,0
119,1446.92,C,19,0
120,30.08,B,9,0
121,1061.16,D,1,1
122,1448.04,A,13,0
123,175.26,D,12,0
124,9.03,B,18,0
125,130.37,A,20,0
126,96.0,C,5,0
127,1582.8,C,12,0
128,3915.71,D,1,1
129,900.47,D,7,0
130,267.09,D,4,0
131,72.71,C,8,0
132,2.43,D,15,0
133,407.23,B,20,0
134,759.19,A,8,0
135,158.07,A,10,0
136,413.83,A,21,0
137,2380.07,D,12,0
138,78.89,D,11,0
139,513.29,B,13,0
140,1.16,C,4,0
141,184.88,B,21,0
142,64.89,A,20,0
143,1439.28,B,4,1
144,0.2,B,12,0
145,231.36,A,18,0
146,24.18,A,16,0
147,101.24,C,0,0
148,87.83,B,22,0
149,236.0,A,19,0
150,494.99,B,5,0
151,56.53,D,23,0
152,878.82,A,8,0
153,37.54,B,21,0
154,355.34,B,19,0
155,175.78,C,14,0
156,22.15,D,12,0
157,8.1,B,11,0
158,710.04,B,13,0
159,36.25,A,13,0
160,2505.74,B,0,1
161,751.15,D,11,0
162,719.07,B,19,0
163,15718.22,D,7,1
164,1038.63,B,10,0
165,136.14,C,12,0
166,1071.0,C,23,0
167,290.91,A,3,0
168,2562.31,D,0,1
169,294.48,C,20,0
170,147.01,A,11,0
171,298.89,C,5,0
172,23.49,A,20,0
173,215.41,C,20,0
174,186.41,C,10,0
175,518.15,C,16,0
176,26.01,A,13,0
177,1180.45,D,19,0
178,292.59,B,14,0
179,13353.73,B,11,0
180,200.77,A,13,0
181,841.8,C,2,0
182,14.4,A,19,0
183,6581.66,A,1,1
184,606.88,C,15,0
185,205.65,C,20,0
186,135.52,C,10,0
187,51.15,B,4,0
188,74.77,B,1,0
189,200.13,C,21,0
190,327.82,D,7,0
191,9.77,D,21,0
192,134.16,D,6,0
193,81.2,B,1,0
194,377.21,C,9,0
195,3088.52,D,20,0
196,17326.12,C,12,0
197,197.81,B,12,0
198,2644.78,A,3,1
199,288.72,B,9,0
200,215.29,C,11,0
201,13.89,A,9,0
202,140.44,A,20,0
203,2724.64,D,16,0
204,90.28,D,21,0
205,297.61,D,21,0
206,2364.93,D,21,0
207,3604.12,D,5,1
208,931.22,A,8,0
209,773.8,C,21,0
210,61.41,B,20,0
211,433.17,A,22,0
212,217.95,A,16,0
213,1219.27,A,20,0
214,942.36,A,11,0
215,2547.82,C,14,0
216,55.72,D,8,0
217,279.12,C,12,0
218,423.64,B,13,0
219,1474.25,A,19,0
220,4379.98,D,20,0
221,1237.84,C,20,0
222,3645.92,B,12,0
223,640.21,A,7,0
224,1000.98,D,11,0
225,1563.74,A,0,1
226,331.15,A,12,0
227,27.0,A,12,0
228,41.16,D,15,0
229,9.94,A,11,0
230,1.55,B,20,0
231,12039.43,A,4,1
232,30.72,C,22,0
233,647.33,B,11,0
234,332.71,A,4,0
235,185.17,D,18,0
236,846.46,B,5,0
237,180.83,C,12,0
238,395.66,B,20,0
239,1417.22,B,19,0
240,1609.35,A,18,0
241,61.23,B,13,0
242,410.42,A,10,0
243,838.48,C,19,0
244,422.74,A,4,0
245,254.82,C,5,0
246,5462.8,B,8,1
247,5542.99,A,4,1
248,83.58,D,13,0
249,34.55,D,7,0
250,410.42,C,13,0
251,106.32,D,13,0
252,3483.9,B,23,0
253,291.07,A,9,0
254,1296.21,B,1,1
255,14.13,B,4,0
256,48.52,C,13,0
257,6070.28,B,15,0
258,951.02,B,1,0
259,1255.19,C,5,1
260,1988.79,B,12,0
261,381.84,D,13,0
262,24.51,B,13,0
263,50.6,C,17,0
264,50.63,B,16,0
265,1019.08,D,2,1
266,284.15,C,21,0
267,139.48,B,0,0
268,115.85,A,21,0
269,181.62,B,12,0
270,285.57,A,10,0
271,190.92,C,8,0
272,1493.55,D,13,0
273,68.49,B,21,0
274,40.22,C,6,0
275,756.3,A,15,0
276,3683.81,D,20,0
277,26.15,C,11,0
278,102.87,C,5,0
279,49.37,D,23,0
280,1864.91,A,1,1
281,3418.97,A,4,0
282,114.7,D,7,0
283,1004.32,C,17,0
284,1629.44,D,19,0
285,374.97,B,11,0
286,887.21,C,12,0
287,0.22,B,10,0
288,11204.68,D,19,0
289,814.2,B,12,0
290,43.84,B,14,0
291,15.11,A,20,0
292,137.84,A,19,0
293,13.5,D,19,0
294,1803.19,B,4,1
295,428.15,A,12,0
296,51.33,A,10,0
297,9.42,A,21,0
298,17.91,A,7,0
299,1296.03,C,20,0
300,5.1,B,13,0
301,156.08,C,12,0
302,1629.14,C,6,1
303,1.18,C,10,0
304,74.41,A,23,0
305,3053.9,A,20,0
306,162.89,D,6,0
307,29.86,B,10,0
308,138.85,B,19,0
309,4130.95,A,20,0
310,52.18,D,16,0
311,136.31,D,4,0
312,1106.74,D,4,1
313,83.32,A,13,0
314,327.14,C,7,0
315,233.09,B,12,0
316,68.92,A,11,0
317,4748.26,D,21,0
318,37.97,D,21,0
319,296.69,C,7,0
320,76.47,D,12,0
321,66.95,B,13,0
322,335.56,A,11,0
323,96.0,D,20,0
324,16.29,B,9,0
325,233.3,A,21,0
326,328.61,D,2,0
327,199.33,A,13,0
328,7.27,A,1,0
329,3414.18,A,11,0
330,1037.35,B,20,0
331,3969.19,A,1,1
332,368.01,D,12,0
333,175.22,B,21,0
334,283.38,D,20,0
335,16.23,B,5,0
336,1160.3,D,8,1
337,45.26,C,19,0
338,1401.89,D,11,0
339,6.73,B,10,0
340,1690.44,C,12,0
341,3192.63,B,20,0
342,45.08,C,20,0
343,9.77,B,11,0
344,2478.52,C,20,0
345,255.13,B,19,0
346,19983.61,D,21,0
347,358.04,A,12,0
348,1458.07,A,22,0
349,8.68,D,16,0
350,5.13,D,10,0
351,24231.3,B,12,0
352,3071.72,B,13,0
353,300.66,A,6,0
354,73.31,C,19,0
355,49.68,B,4,0
356,64.26,A,1,0
357,191.43,A,13,0
358,242.03,A,19,0
359,242.6,C,14,0
360,7260.89,D,12,0
361,101.77,B,11,0
362,776.16,C,16,0
363,295.93,C,11,0
364,469.06,B,16,0
365,152.61,A,2,0
366,114.74,B,19,0
367,34.4,D,1,0
368,1189.69,D,21,0
369,130.41,B,15,0
370,1144.54,C,19,0
371,1721.23,C,11,0
372,1160.61,C,20,0
373,613.75,C,11,0
374,9.2,A,12,0
375,81.98,C,23,0
376,145.98,D,11,0
377,39.75,C,13,0
378,5344.17,D,23,0
379,4.13,B,7,0
380,653.82,D,19,0
381,302.54,C,23,0
382,77.48,C,1,0
383,9.63,C,3,0
384,1515.36,A,13,0
385,183.17,C,19,0
386,267.79,A,17,0
387,184.14,C,19,0
388,138.8,C,20,0
389,42.1,C,16,0
390,347.09,B,13,0
391,102.64,A,10,0
392,28.68,C,12,0
393,165.8,B,11,0
394,29.78,B,23,0
395,528.41,B,9,0
396,1016.59,D,0,1
397,38.29,D,22,0
398,21.93,A,11,0
399,299.47,C,12,0
400,1992.29,C,19,0
401,40.9,A,7,0
402,1073.65,B,6,1
403,2920.83,B,16,0
404,368.21,D,4,0
405,480.55,A,21,0
406,3533.73,C,11,0
407,67.32,B,0,0
408,630.32,C,15,0
409,8.09,D,12,0
410,870.01,B,14,0
411,806.08,C,16,0
412,21.31,B,3,0
413,1120.82,B,0,1
414,269.62,C,20,0
415,31.74,B,18,0
416,686.74,D,6,0
417,192.6,D,19,0
418,345.82,A,22,0
419,64.04,D,11,0
420,885.26,A,11,0
421,61.05,B,11,0
422,1069.78,D,20,0
423,58.77,B,6,0
424,215.87,D,13,0
425,17468.47,A,5,1
426,15.35,C,2,0
427,42.21,D,11,0
428,376.91,B,21,0
429,259.36,B,7,0
430,36.44,B,11,0
431,649.17,D,13,0
432,648.04,B,9,0
433,458.75,A,12,0
434,1090.17,C,19,0
435,266.04,A,17,0
436,5551.83,D,1,1
437,6163.88,C,20,0
438,32.64,B,21,0
439,24.04,C,12,0
440,15.28,C,11,0
441,622.69,B,13,0
442,5113.24,D,21,0
443,196.65,A,14,0
444,483.97,D,13,0
445,48.86,B,17,0
446,657.36,A,17,0
447,922.85,C,0,0
448,25.71,B,16,0
449,65.27,D,0,0
450,1617.62,A,11,0
451,924.42,A,12,0
452,35.33,A,19,0
453,284.93,B,8,0
454,697.64,D,1,0
455,97.49,A,7,0
456,444.31,B,19,0
457,334.5,D,13,0
458,166.67,B,22,0
459,130.07,C,7,0
