id,valor,categoria,hora,is_fraud
1,137.07,D,12,0
2,1105.56,C,19,0
3,7143.94,B,13,0
4,2652.55,B,17,0
5,550.02,D,23,0
6,80.56,C,10,0
7,1971.31,D,21,0
8,225.22,D,2,0
9,102.41,B,13,0
10,35.63,C,1,0
11,241.72,D,21,0
12,11.23,A,13,0
13,15.07,A,9,0
14,146.1,A,20,0
15,80.55,C,13,0
16,127.36,C,15,0
17,937.53,A,4,0
18,58.88,C,2,0
19,2.62,D,5,0
20,6.19,A,3,0
21,80.85,B,11,0
22,168.8,C,21,0
23,37.91,B,7,0
24,568.37,D,19,0
25,100.73,A,6,0
26,222.73,B,19,0
27,687.84,D,15,0
28,972.11,C,12,0
29,102.81,D,12,0
30,773.37,D,19,0
31,59.84,D,21,0
32,151.15,A,21,0
33,967.15,C,23,0
34,339.09,A,2,0
35,808.64,D,19,0
36,6.79,C,1,0
37,3629.0,C,2,1
38,27.75,D,8,0
39,1137.42,D,21,0
40,39.3,C,20,0
41,1281.13,B,3,1
42,315.47,D,18,0
43,3954.84,A,19,0
44,173.02,C,11,0
45,183.12,D,19,0
46,1292.38,D,6,1
47,4284.76,D,14,0
48,369.52,C,0,0
49,1307.33,C,0,1
50,97.64,D,11,0
51,255.64,A,15,0
52,8768.35,A,0,1
53,379.94,D,0,0
54,17.5,C,11,0
55,246.86,C,13,0
56,162.22,A,15,0
57,891.41,B,21,0
58,43.43,D,14,0
59,346.5,A,8,0
60,4322.12,A,20,0
61,24.42,B,6,0
62,65.57,D,15,0
63,7.57,D,0,0
64,1589.98,D,18,0
65,355.89,D,20,0
66,38.77,B,0,0
67,2187.89,C,16,0
68,113.38,A,0,0
69,40.58,B,13,0
70,43.5,D,8,0
71,221.74,A,12,0
72,981.99,D,19,0
73,60.17,C,19,0
74,541.92,D,7,0
75,359.81,A,10,0
76,189.78,A,14,0
77,483.11,D,21,0
78,18.79,C,11,0
79,519.93,A,20,0
80,40.07,B,2,0
81,3982.66,D,6,1
82,1267.55,C,17,0
83,3231.11,A,7,0
84,226.46,C,20,0
85,453.67,B,2,0
86,836.44,B,15,0
87,332.67,A,17,0
88,37.87,A,12,0
89,1131.28,B,21,0
90,24.14,C,22,0
91,5.1,B,19,0
92,107.56,B,23,0
93,115.61,C,17,0
94,99.92,A,2,0
95,963.16,D,6,0
96,147.54,D,12,0
97,10.79,B,16,1
98,595.68,C,9,0
99,967.24,D,21,0
100,880.85,B,5,0
101,1529.21,A,6,1
102,4477.09,B,3,1
103,254.23,D,4,0
104,5036.18,C,23,0
105,3730.15,A,11,0
106,2175.65,A,4,1
107,1729.83,C,21,0
108,947.98,B,12,0
109,28.57,A,13,0
110,9354.58,D,7,0
111,116.75,D,14,0
112,24.41,A,15,0
113,59.11,A,10,0
114,684.37,A,12,0
115,6.15,D,2,0
116,736.73,A,6,0
117,1559.41,B,19,0
118,94.89,C,11,0
119,9.57,C,13,0
120,31.66,D,11,0
121,37697.21,B,11,0
122,774.78,B,0,0
123,1535.69,B,20,0
124,185.12,D,15,0
125,1334.89,B,21,0
126,41.76,A,8,0
127,119.67,A,12,0
128,10.25,B,15,0
129,693.2,A,6,0
130,69.6,A,20,0
131,381.84,C,11,0
132,1303.69,B,2,1
133,722.91,D,7,0
134,266.64,D,9,0
135,1685.0,D,9,0
136,15439.17,D,13,0
137,22.71,D,5,0
138,14.77,C,6,0
139,3013.54,A,1,1
140,831.25,A,18,0
141,292.17,A,12,0
142,1702.6,B,1,1
143,97.04,A,13,0
144,62.65,D,22,0
145,3467.19,B,13,0
146,573.55,B,18,0
147,4106.09,B,10,0
148,23.83,C,6,0
149,3.83,C,4,0
150,926.41,A,20,0
151,815.63,B,21,0
152,11261.24,A,6,1
153,497.18,C,2,0
154,18.74,C,13,0
155,456.16,D,9,0
156,320.0,A,19,0
157,408.96,C,14,0
158,854.3,D,16,0
159,39.99,C,22,0
160,19.82,D,13,0
161,266.94,D,16,0
162,2336.53,D,16,0
163,258.2,D,2,0
164,1173.2,D,7,0
165,50.94,B,0,0
166,53.1,B,19,0
167,590.49,A,14,0
168,971.04,B,19,0
169,214.35,B,4,0
170,624.21,C,19,0
171,9788.91,C,12,0
172,668.62,C,21,0
173,396.38,C,4,0
174,422.9,C,11,0
175,444.54,B,20,0
176,24.97,D,20,0
177,747.1,D,12,0
178,251.93,A,23,0
179,545.32,A,14,0
180,306.55,C,3,0
181,178.79,B,22,0
182,745.85,A,13,0
183,343.95,D,17,0
184,697.57,C,13,0
185,87.42,C,20,0
186,1768.12,C,21,0
187,2112.4,B,5,1
188,213.48,A,7,0
189,28.45,B,20,0
190,6.44,A,4,0
191,20.69,A,10,0
192,284.1,B,11,0
193,527.66,C,12,0
194,45.32,A,12,1
195,17.06,C,13,0
196,12332.68,D,21,0
197,703.29,D,12,0
198,236.92,D,13,0
199,300.7,C,11,0
200,214.2,A,21,0
201,74.01,C,0,0
202,229.34,C,19,0
203,194.18,D,22,0
204,6030.92,B,21,0
205,2695.17,D,18,0
206,2209.65,A,13,0
207,29.43,D,21,0
208,392.75,B,20,0
209,122.88,B,20,0
210,370.77,D,21,0
211,127.94,B,6,0
212,8.16,A,20,0
213,24.26,A,14,0
214,375.31,D,18,0
215,49.97,A,14,0
216,416.92,A,3,0
217,6748.17,C,20,0
218,538.57,B,6,0
219,1918.24,C,13,0
220,216.37,B,3,1
221,680.64,B,17,0
222,236.68,D,13,0
223,3122.94,B,18,0
224,116.2,A,17,0
225,787.4,C,12,0
226,454.19,A,12,0
227,378.55,B,11,0
228,22.66,A,6,0
229,71.71,B,10,0
230,95.92,C,20,0
231,216.06,B,12,0
232,670.4,A,11,0
233,5.48,D,11,0
234,366.02,C,15,0
235,48.59,A,21,0
236,135.62,D,15,0
237,10254.58,A,19,0
238,2166.71,B,1,1
239,4011.96,A,13,0
240,905.7,B,7,0
241,113.45,D,20,0
242,40.44,B,13,0
243,122.16,C,12,0
244,320.44,C,12,0
245,7140.55,B,19,0
246,557.15,C,14,0
247,993.05,C,7,0
248,292.49,C,9,0
249,1044.79,A,20,0
250,28.71,A,18,0
251,6509.01,C,9,0
252,56.66,D,23,0
253,2565.69,A,18,0
254,480.03,A,19,0
255,415.75,B,3,0
256,0.85,C,12,0
257,86.72,A,3,0
258,184.0,A,19,0
259,730.48,A,14,0
260,1259.96,D,11,0
261,244.12,C,19,0
262,46.01,C,19,0
263,162.0,B,5,0
264,117.31,C,8,0
265,23.5,B,20,0
266,376.35,A,13,0
267,1448.82,D,20,0
268,822.1,B,12,0
269,27.86,B,4,0
270,120.85,A,21,0
271,13478.89,B,17,0
272,2440.88,D,5,1
273,38.16,B,12,0
274,23.75,A,21,0
275,158.56,D,20,0
276,647.55,A,18,0
277,33.6,D,2,0
278,362.24,A,12,0
279,3.72,D,11,0
280,2.55,C,12,0
281,406.0,B,8,0
282,152.49,B,20,0
283,1148.65,C,11,0
284,587.72,A,9,0
285,461.65,A,8,0
286,61.29,A,3,0
287,73.0,D,0,0
288,360.59,B,19,0
289,301.31,A,6,0
290,141.55,D,15,0
291,3989.07,A,23,0
292,11.67,A,18,0
293,222.65,D,0,0
294,169.28,C,6,0
295,1044.91,B,17,0
296,499.27,B,12,0
297,4.24,B,13,0
298,213.5,B,16,0
299,12355.44,A,11,0
300,274.1,C,17,0
301,3.13,D,17,0
302,6.31,C,19,0
303,7.49,B,20,0
304,122.05,D,3,0
305,59.25,C,20,0
306,220.32,C,2,0
307,5236.32,A,7,0
308,942.98,D,20,0
309,14.47,C,3,0
310,123.49,A,18,0
311,22.0,A,20,0
312,54.07,A,20,0
313,330.36,D,11,0
314,288.24,A,13,0
315,314.7,C,19,0
316,121.44,C,2,0
317,315.64,C,14,0
318,2608.45,C,11,0
319,39.88,B,19,0
320,13.68,B,19,0
321,115.72,A,14,0
322,3104.04,B,0,1
323,205.15,B,18,0
324,65.14,B,9,0
325,96.29,A,9,0
326,550.61,B,19,0
327,52.28,D,8,0
328,1053.97,B,3,1
329,701.31,A,20,0
330,749.6,D,11,0
331,14.85,D,6,0
332,941.31,D,8,0
333,190.86,B,0,0
334,10.45,C,15,0
335,280.64,C,15,0
336,125.15,D,19,0
337,199.54,A,16,0
338,249.63,D,18,0
339,20.35,C,3,0
340,897.3,C,18,0
341,97.97,A,8,0
342,114.03,C,18,0
343,109.45,B,11,0
344,2944.32,C,23,0
345,211.02,C,13,0
346,725.58,C,7,0
347,129.47,D,7,0
348,6.53,A,3,0
349,31.74,D,12,0
350,355.85,A,5,0
351,2627.31,C,20,0
352,410.73,C,11,0
353,11846.19,D,15,0
354,491.29,D,11,0
355,29.93,B,1,0
356,25.32,D,4,0
357,1137.95,D,19,0
358,1185.71,A,20,0
359,7596.92,A,20,0
360,601.67,C,20,0
361,334.37,D,0,0
362,5215.74,D,13,0
363,732.4,A,2,0
364,6.34,B,11,0
365,305.89,B,13,0
366,190.77,D,18,0
367,28.78,C,21,0
368,276.15,C,20,0
369,300.39,A,6,0
370,558.61,A,1,0
371,14.88,D,7,0
372,272.72,B,4,0
373,1589.76,D,9,0
374,334.4,B,8,0
375,59.13,B,20,0
376,2.83,D,13,0
377,80.11,D,21,0
378,154.93,B,15,0
379,655.26,A,12,0
380,110.71,A,18,0
381,5726.41,D,11,0
382,170.45,D,20,0
383,14176.87,B,19,0
384,55.57,C,14,0
385,474.07,C,21,0
386,2.84,D,4,0
387,255.51,C,3,0
388,32.29,C,12,0
389,306.66,A,12,0
390,24.66,A,10,0
391,71.34,C,15,0
392,35.74,A,5,0
393,1067.26,B,18,0
394,19.75,D,15,0
395,3023.13,C,20,0
396,39560.68,A,1,1
397,597.01,A,13,0
398,653.6,A,19,0
399,431.03,D,0,0
400,2843.77,D,1,1
401,28.67,D,13,0
402,355.8,C,21,0
403,134.22,D,3,0
404,195.29,D,12,0
405,10073.24,D,0,1
406,30.4,C,22,0
407,3.32,C,0,0
408,294.71,C,8,0
409,53.83,C,22,0
410,171.22,A,23,0
411,918.88,D,4,0
412,245.21,D,23,0
413,432.09,B,1,0
414,51.24,B,17,0
415,29.7,A,20,0
416,100.85,B,12,0
417,4.01,D,20,0
418,86.9,B,19,0
419,1780.74,B,10,0
420,510.12,B,8,0
421,414.48,A,4,0
