id,valor,categoria,hora,is_fraud
1,931.77,B,13,0
2,865.54,A,11,0
3,524.11,A,3,0
4,115.19,A,10,1
5,795.64,A,10,0
6,81.67,D,18,0
7,142.14,D,13,1
8,11.36,D,12,0
9,335.09,C,22,0
10,66.26,D,16,0
11,389.01,D,11,1
12,2704.07,A,6,0
13,1884.15,B,21,0
14,20.94,C,10,0
15,91.62,A,21,0
16,138.72,B,18,0
17,5431.66,C,6,0
18,260.91,B,19,0
19,1820.3,C,18,0
20,950.86,A,19,0
21,445.68,B,12,0
22,6093.83,D,16,0
23,310.24,D,20,0
24,16.84,C,6,0
25,211.11,B,20,0
26,572.78,A,17,0
27,85.31,B,13,0
28,306.77,C,12,0
29,1009.1,B,13,0
30,64.59,B,6,0
31,102.0,D,6,0
32,53.11,A,21,0
33,38.58,D,3,0
34,2695.79,D,9,0
35,67.0,D,6,0
36,6020.78,A,13,0
37,92.83,A,12,0
38,57.2,B,11,1
39,1033.26,D,9,0
40,79.72,D,13,1
41,318.02,D,8,0
42,276.32,C,12,0
43,45.53,B,12,0
44,178.17,C,7,0
45,2.97,B,17,0
46,4377.98,D,11,0
47,105.39,B,2,0
48,402.27,C,20,0
49,212.34,A,17,1
50,4471.74,B,22,0
51,1144.31,A,12,0
52,416.1,D,20,0
53,580.13,B,19,0
54,250.0,A,16,0
55,886.34,C,8,0
56,152.43,B,15,0
57,6.21,D,10,0
58,491.8,D,3,0
59,278.52,D,21,0
60,471.23,B,23,0
61,181.35,A,14,0
62,128.67,B,9,1
63,172.82,A,21,0
64,4.88,A,21,0
65,25156.55,B,6,0
66,94.23,B,12,0
67,58.6,C,13,1
68,5.3,C,9,0
69,5.53,D,19,0
70,33.06,A,4,0
71,257.33,C,12,0
72,67.83,B,19,0
73,63.24,A,13,0
74,244.07,C,20,0
75,697.85,C,12,0
76,685.56,B,4,0
77,278.55,B,11,0
78,56.15,B,10,1
79,288.31,D,1,0
80,474.29,C,13,0
81,39.51,D,19,0
82,33.96,C,3,0
83,595.81,A,15,0
84,3447.38,B,17,0
85,126.4,B,1,0
86,3102.1,C,1,0
87,16.16,B,6,0
88,671.14,A,12,0
89,137.42,B,20,0
90,36.67,A,1,0
91,202.67,B,19,0
92,52.46,D,23,0
93,38.71,D,0,0
94,252.93,D,19,0
95,325.85,D,12,0
96,606.66,D,10,0
97,418.44,D,12,0
98,368.07,D,4,0
99,373.7,D,21,0
100,154.74,A,20,0
101,799.87,A,4,0
102,945.15,B,12,0
103,585.7,A,13,0
104,2373.01,C,6,0
105,2353.22,B,3,0
106,96.21,A,13,0
107,976.64,B,4,0
108,34.4,D,7,0
109,1542.12,A,3,0
110,293.65,D,7,0
111,9780.02,B,20,0
112,22.68,B,18,0
113,4184.6,A,14,0
114,14.47,D,6,0
115,65.95,D,12,0
116,42.44,B,20,0
117,2287.2,B,13,0
118,388.99,B,19,0
119,592.91,D,1,0
120,102.89,C,19,0
121,4468.48,A,15,0
122,1924.59,B,21,0
123,8.07,C,6,0
124,14.28,C,12,1
125,1689.37,B,0,0
126,1393.47,A,13,0
127,237.55,D,5,0
128,28.42,A,14,0
129,436.23,C,12,1
130,20.37,B,23,0
131,3.75,C,11,0
132,566.2,A,12,0
133,95.38,B,19,0
134,9050.85,B,8,0
135,57.0,A,10,1
136,103.09,D,19,0
137,2204.4,C,19,0
138,8027.69,B,12,0
139,234.64,A,12,0
140,392.09,D,21,0
141,2130.94,B,16,0
142,707.59,B,19,0
143,524.81,D,11,0
144,94.36,B,18,0
145,63.91,C,14,0
146,300.81,C,12,0
147,75.38,A,20,0
148,1059.97,B,9,0
149,702.74,C,3,0
150,11273.27,D,19,0
151,13.09,A,21,0
152,74.43,C,20,0
153,215.45,B,17,0
154,420.63,D,11,0
155,8944.49,A,12,0
156,25.47,D,17,1
157,9957.2,A,4,0
158,15.17,B,21,0
159,988.87,D,10,0
160,134.7,A,1,0
161,155.65,C,1,0
162,39.12,C,11,0
163,1658.17,A,11,0
164,273.86,D,7,0
165,42.8,B,13,0
166,76.8,C,5,0
167,918.94,D,11,0
168,33.62,B,21,0
169,439.4,A,18,0
170,6403.27,C,19,0
171,186.86,C,12,0
172,68.0,B,2,0
173,31.63,A,13,0
174,146.08,B,11,1
175,102.34,D,18,0
176,6.89,C,14,1
177,201.32,B,10,1
178,92.62,D,3,0
179,917.28,D,18,0
180,1064.22,A,20,0
181,64.99,B,21,0
182,3070.3,D,4,0
183,4570.89,B,12,0
184,422.48,C,13,1
185,582.51,A,11,0
186,2302.37,B,5,0
187,17.02,B,18,0
188,4020.03,C,13,0
189,14.3,B,3,0
190,333.45,D,7,0
191,79.35,A,6,0
192,24.8,C,11,0
193,91.08,C,4,0
194,494.19,B,21,0
195,163.3,A,18,0
196,53.0,D,4,0
197,818.43,B,11,0
198,23.76,A,20,0
199,173.19,D,23,0
200,1563.57,B,11,0
201,29.6,D,21,0
202,445.36,C,17,0
203,633.8,A,6,0
204,2630.85,C,20,0
205,672.06,D,1,0
206,519.29,D,8,0
207,2546.5,B,3,0
208,115.48,A,11,0
209,338.88,A,19,0
210,206.86,D,15,0
211,5407.06,A,18,0
212,162.62,C,4,0
213,258.0,C,14,0
214,213.89,A,20,0
215,288.35,A,11,0
216,27.97,B,23,0
217,1557.99,C,23,0
218,5946.35,C,20,0
219,1116.53,B,23,0
220,67.97,D,11,0
221,1708.79,D,22,0
222,53.05,B,20,0
223,50.43,D,14,0
224,15040.97,A,21,0
225,539.14,C,21,0
226,83.18,A,14,0
227,47.81,D,12,0
228,90.26,A,12,0
229,5635.4,A,12,0
230,778.89,A,13,0
231,3.38,A,15,0
232,19.16,B,12,0
233,172.83,A,5,0
234,179.1,D,21,0
235,5.61,C,14,0
236,822.23,C,11,0
237,980.19,B,12,0
238,1680.61,D,2,0
239,360.98,A,12,0
240,60.69,C,20,0
241,34.14,D,16,0
242,134.62,D,19,0
243,676.84,A,1,0
244,179.53,D,9,1
245,190.19,A,19,0
246,139.08,C,22,0
247,330.45,D,2,0
248,192.34,C,8,0
249,74.45,B,3,0
250,51.62,A,17,0
251,5803.15,A,22,0
252,345.75,B,13,1
253,19.63,C,22,0
254,77.66,A,20,0
255,2774.31,A,11,0
256,360.84,C,15,0
257,385.74,C,19,0
258,99.74,B,16,0
259,388.73,D,7,0
260,311.27,D,14,0
261,131.83,D,8,0
262,75.13,B,21,0
263,86.84,D,11,0
264,3184.54,C,21,0
265,144.44,A,15,0
266,51.5,A,15,1
267,20.5,A,21,0
268,976.55,B,11,0
269,118.12,C,21,0
270,3069.87,A,15,0
271,25.11,C,20,0
272,1090.4,B,6,0
273,93.93,A,2,0
274,181.56,B,12,1
275,134.84,C,14,0
276,816.08,B,4,0
277,3760.18,B,5,0
278,91.99,A,11,1
279,552.69,B,3,0
280,525.31,B,22,0
281,584.87,D,14,0
282,81.16,C,5,0
283,23.55,B,13,0
284,3241.57,A,14,0
285,8339.08,C,21,0
286,13.5,A,13,0
287,86.79,B,1,0
288,182.28,A,2,0
289,121.26,A,14,0
290,4.2,A,23,0
291,85.06,D,18,0
292,3096.1,A,19,0
293,1202.27,B,12,0
294,469.78,D,20,0
295,23.59,C,2,0
296,365.44,D,12,0
297,166.99,C,14,0
298,14.52,D,2,0
299,1201.02,C,20,0
300,337.54,A,21,0
301,137.81,B,13,1
302,180.82,D,21,0
303,1241.32,B,2,0
304,12.96,C,12,0
305,16.72,B,7,0
306,22.95,D,3,0
307,402.22,D,16,1
308,174.75,D,18,0
309,1172.04,C,19,0
310,24.64,D,7,0
311,1743.01,B,4,0
312,168.71,D,19,0
313,54.81,B,20,0
314,163.79,B,12,0
315,430.84,D,16,1
316,108.65,A,9,0
317,53.18,D,9,0
318,395.69,D,19,0
319,1732.14,B,4,0
320,102.62,B,20,0
321,501.56,B,17,0
322,55.87,D,20,0
323,21.02,A,13,1
324,2355.69,B,2,0
325,605.81,B,21,0
326,940.54,D,21,0
327,1293.26,A,12,0
328,180.25,B,22,0
329,19.47,C,20,0
330,1003.53,A,17,0
331,211.17,A,0,0
332,4148.15,B,21,0
333,1391.16,A,4,0
334,574.03,C,17,0
335,79.38,C,3,0
336,4.92,C,12,0
337,326.84,C,19,0
338,15149.73,A,21,0
339,15.57,A,12,0
340,42.99,A,2,0
341,63.53,B,9,0
342,226.39,B,6,0
343,721.23,C,20,0
344,167.95,B,21,0
345,599.76,B,17,0
346,10.48,A,7,0
347,1522.06,A,18,0
348,552.18,A,9,0
349,50.62,B,19,0
350,122.7,B,13,0
351,279.59,D,18,0
352,1101.51,B,8,0
353,1577.22,D,11,0
354,866.86,B,21,0
355,3319.27,D,18,0
356,29.55,B,9,1
357,65.9,A,13,0
358,605.08,C,8,0
359,2597.08,D,11,0
360,1349.32,A,23,0
361,706.99,B,6,0
362,12146.07,B,1,0
363,6287.28,B,0,0
364,56.9,A,23,0
365,185.11,C,3,0
366,5353.49,C,4,0
367,45.6,D,9,0
368,111.31,A,0,0
369,1028.91,B,4,0
370,1454.59,C,14,0
371,327.44,A,18,0
372,136.56,D,13,1
373,348.71,B,22,0
374,16.67,A,13,0
375,504.14,B,20,0
376,109.64,C,16,1
377,62.98,B,5,0
378,3612.22,D,9,0
379,3395.71,B,0,0
380,296.2,A,15,1
381,1434.55,C,16,0
382,17.09,D,20,0
383,279.93,D,8,0
384,108.65,A,20,0
385,1790.06,B,18,0
386,108.26,A,12,0
387,1839.99,D,17,0
388,896.6,D,11,0
389,3161.05,D,4,0
390,11715.6,C,18,0
391,1002.06,B,19,0
392,153.6,A,11,0
393,62.72,A,14,0
394,19.41,A,13,0
395,96.07,D,21,0
396,174.14,D,13,1
397,63.16,B,12,1
398,195.4,A,17,0
399,7682.15,B,11,0
400,93.21,C,3,0
401,44.32,B,19,0
402,2501.09,C,12,0
403,1005.5,C,5,0
404,56.2,B,12,1
405,6037.69,D,21,0
406,188.39,D,2,0
407,3948.75,C,7,0
408,11946.81,D,14,0
409,1782.4,B,18,0
410,156.38,B,21,0
411,26.54,A,20,0
412,216.92,B,2,0
413,17.44,A,19,0
414,7098.56,C,19,0
415,205.74,A,6,0
416,41.09,C,18,0
417,317.39,D,12,0
418,225.98,B,11,0
419,6058.49,D,21,0
420,2068.89,D,12,0
421,269.07,D,13,0
422,68.82,C,8,0
423,273.86,C,18,0
424,48.87,D,14,0
425,11.2,C,11,0
426,229.16,A,11,0
427,830.0,B,19,0
428,8.75,D,23,0
429,1505.67,D,0,0
430,194.32,C,8,0
431,101.35,D,21,0
432,235.2,B,20,0
433,187.94,B,20,0
434,284.45,D,11,0
435,24.95,A,9,0
436,1277.84,D,10,0
437,794.85,B,13,0
438,59.72,C,12,0
439,62.88,B,20,0
440,689.06,C,19,0
441,158.37,A,20,0
442,615.7,A,20,0
443,70.11,A,18,0
444,1365.54,D,22,0
445,173.9,B,11,1
446,130.73,D,2,0
447,438.5,B,4,0
448,1238.7,D,6,0
449,31.69,D,23,0
450,133.0,D,13,1
451,2568.79,A,23,0
452,265.99,D,12,1
453,267.59,A,11,1
454,3378.98,C,1,0
455,79.62,C,13,0
456,60.1,B,19,0
457,1609.16,A,21,0
458,724.07,A,20,0
459,2124.37,C,11,0
460,40.51,A,23,0
461,76.19,A,21,0
462,12613.11,B,18,0
463,418.26,C,21,0
464,67.38,B,13,0
465,252.24,A,17,0
466,56.34,D,23,0
467,1483.82,D,16,0
468,83.13,A,20,0
469,89.24,A,12,1
470,5354.71,C,7,0
471,63.21,D,8,0
472,286.94,A,9,0
473,372.5,D,6,0
474,1214.56,A,19,0
475,17.63,B,7,0
476,416.03,A,20,0
477,73.4,C,2,0
478,119.72,B,12,0
479,878.31,A,14,0
480,246.17,D,4,0
481,103.51,D,15,0
482,58.06,C,22,0
483,106.46,C,13,0
484,53.14,C,13,0
485,998.67,B,20,0
486,153.52,A,22,0
487,5681.5,D,11,0
488,872.85,B,23,0
489,1159.18,C,12,0
490,525.29,D,17,0
491,59.45,A,12,0
492,59.8,C,13,0
493,49.91,B,20,0
494,1575.41,D,18,0
495,1260.21,A,12,0
496,958.75,B,19,0
497,230.51,C,12,0
498,3515.3,A,8,0
499,194.79,B,19,0
500,86.83,C,19,0
501,17.18,C,18,0
502,224.77,C,20,0
503,33.75,B,20,0
504,466.09,C,23,0
505,18.32,A,17,0
506,1036.8,A,11,0
507,136.8,D,20,0
508,292.83,D,19,0
509,1161.47,B,23,0
510,1114.7,B,21,0
511,12.75,D,20,0
512,2687.35,B,2,0
513,6528.56,B,20,0
514,44405.01,D,8,0
515,377.56,D,21,0
516,90.53,A,6,0
