id,valor,categoria,hora,is_fraud
1,532.69,C,8,0
2,82.4,C,13,0
3,589.65,D,11,0
4,14.39,A,9,0
5,517.39,A,20,1
6,114.95,D,10,0
7,25.98,B,6,0
8,28.49,A,1,0
9,77.27,C,20,0
10,23.12,D,5,0
11,26827.68,B,19,0
12,1048.8,B,12,0
13,506.68,A,21,0
14,158.11,D,7,0
15,4827.94,D,7,0
16,314.14,B,20,0
17,773.26,B,1,0
18,142.59,B,21,0
19,275.7,A,6,0
20,27.9,B,13,0
21,57.41,C,2,0
22,6242.4,C,13,0
23,1800.8,C,20,0
24,361.99,D,14,0
25,536.7,D,4,0
26,41.56,B,19,0
27,91.29,A,11,0
28,8.88,C,12,0
29,111.76,B,19,0
30,2371.3,B,11,0
31,832.97,C,19,0
32,11764.18,C,23,0
33,1055.38,D,20,0
34,34.53,A,19,0
35,715.07,C,3,0
36,2050.69,D,0,1
37,202.82,C,6,0
38,934.45,A,23,0
39,31.33,C,11,0
40,21.85,A,13,0
41,206.02,D,2,0
42,1002.41,C,21,0
43,1057.16,A,11,0
44,8261.94,D,20,0
45,1444.6,C,12,0
46,564.03,B,2,0
47,2083.31,B,9,0
48,7.38,D,20,0
49,620.29,D,21,0
50,208.76,A,15,0
51,19.06,A,15,0
52,5653.78,D,11,0
53,11860.08,A,16,0
54,3644.98,C,23,0
55,213.93,B,18,0
56,2491.53,A,8,0
57,89.18,B,11,0
58,144.73,A,12,0
59,1489.28,B,19,0
60,1370.12,A,21,0
61,120.75,C,12,0
62,29.03,C,15,0
63,160.56,B,21,0
64,48.97,C,19,0
65,197.0,A,8,0
66,1429.12,C,12,0
67,870.04,C,19,0
68,558.11,D,13,0
69,1270.25,A,23,0
70,57.28,C,7,0
71,1432.07,B,16,0
72,72.3,B,13,0
73,62.33,A,19,0
74,268.97,D,11,0
75,93.34,A,8,0
76,122.22,B,16,0
77,56.55,C,12,0
78,122.74,A,10,0
79,263.81,D,19,0
80,13.61,D,19,0
81,1080.67,C,22,0
82,117.69,B,9,0
83,1137.11,A,10,0
84,941.2,A,5,0
85,176.07,A,2,0
86,61.46,C,12,0
87,997.12,C,13,0
88,233.3,A,15,0
89,325.16,C,11,0
90,171.08,D,23,0
91,162.83,D,0,0
92,1121.96,A,7,0
93,166.37,D,5,0
94,64.09,D,13,0
95,111.91,D,4,0
96,192.16,A,17,0
97,248.23,C,10,0
98,2602.82,A,19,0
99,1200.99,D,21,0
100,62.81,C,20,0
101,4695.85,B,9,1
102,186.43,C,16,1
103,2.53,D,11,0
104,1717.21,B,23,0
105,5.25,C,22,0
106,341.56,D,20,0
107,60.97,B,19,0
108,266.15,B,19,0
109,440.97,A,20,0
110,249.17,D,19,0
111,2204.36,A,7,0
112,573.21,D,4,0
113,152.2,A,21,0
114,70.24,C,1,0
115,15.48,D,9,0
116,8.43,B,16,0
117,1142.19,A,0,0
118,138.45,C,13,0
119,201.51,A,13,0
120,3216.84,B,14,0
121,154.34,C,2,0
122,4707.25,D,22,0
123,145.77,D,13,0
124,136.47,C,14,0
125,361.21,A,3,0
126,778.98,A,21,0
127,33.24,D,13,0
128,148.02,C,22,0
129,36.43,C,13,0
130,46.4,C,8,0
131,49.53,D,21,0
132,262.2,C,12,0
133,2017.5,A,2,1
134,218.06,A,11,0
135,653.58,D,11,0
136,238.8,C,12,0
137,1225.44,D,19,0
138,1028.54,D,21,0
139,145.2,D,14,0
140,25.3,C,9,0
141,6739.38,C,11,0
142,112.16,C,22,0
143,1715.83,C,19,0
144,392.71,D,15,0
145,420.64,C,13,0
146,12.04,C,20,0
147,213.88,B,20,0
148,440.24,D,21,0
149,1455.04,B,0,0
150,112.91,D,9,0
151,187.16,B,19,0
152,498.76,A,1,0
153,334.74,A,4,0
154,37.12,A,12,0
155,25042.42,D,15,0
156,3237.61,A,20,0
157,85.75,D,20,0
158,450.22,C,10,0
159,128.22,C,19,0
160,1606.18,D,8,0
161,1722.68,C,20,0
162,116.32,D,8,0
163,153.5,D,17,0
164,263.91,B,14,0
165,5919.02,C,20,0
166,436.47,D,11,0
167,1630.06,D,19,0
168,326.8,C,4,0
169,8.78,A,1,0
170,67.26,B,0,0
171,140.32,C,15,0
