id,valor,categoria,hora,is_fraud
1,13008.83,D,19,0
2,109.74,D,12,0
3,3044.31,D,13,0
4,53.51,C,21,0
5,36.08,B,6,0
6,205.61,C,19,0
7,151.48,B,20,0
8,4393.99,B,19,0
9,465.72,A,0,0
10,553.35,D,14,0
11,124.89,D,18,0
12,822.33,C,8,0
13,234.06,A,2,0
14,4808.94,D,21,0
15,330.38,C,3,0
16,5443.01,B,0,1
17,41.78,C,20,0
18,22.46,D,7,0
19,531.21,C,11,0
20,12.78,A,5,0
21,945.26,C,23,0
22,631.81,A,12,0
23,341.91,C,13,0
24,924.25,A,16,0
25,818.6,B,12,0
26,69.15,C,21,0
27,3112.02,C,20,1
28,1348.16,B,19,1
29,1726.6,B,18,0
30,713.7,B,17,0
31,2.0,A,15,0
32,8.48,B,16,0
33,14.07,C,9,0
34,17.95,D,22,0
35,135.36,D,18,0
36,42.08,A,2,0
37,23.27,A,20,0
38,27.97,A,11,0
39,401.49,A,9,0
40,7163.19,D,11,0
41,311.95,B,12,0
42,207.37,A,21,0
43,646.34,A,12,0
44,69.59,C,13,0
45,141.26,C,16,0
46,4124.35,B,3,0
47,67.44,B,16,0
48,473.21,A,20,0
49,109.9,A,5,0
50,120.08,C,17,0
51,6738.23,A,13,1
52,175.83,C,13,0
53,22.7,A,12,0
54,329.06,B,5,0
55,2695.63,A,17,1
56,461.41,D,15,0
57,134.83,A,19,0
58,154.02,C,13,0
59,482.29,C,12,0
60,1703.42,C,7,0
61,671.19,C,10,0
62,5290.88,A,4,0
63,56.76,D,8,0
64,66.85,B,19,0
65,543.08,A,19,0
66,13.13,C,3,0
67,32.42,B,16,0
68,1544.94,D,20,0
69,3399.31,A,21,0
70,36.8,A,5,0
71,227.28,A,20,0
72,147.37,D,16,0
73,13.32,D,23,0
74,541.75,C,14,0
75,55.52,D,14,0
76,1707.04,D,18,0
77,321.58,B,19,0
78,218.62,A,8,0
79,90.47,A,11,0
80,811.21,D,13,0
81,136.09,A,21,0
82,838.42,B,13,0
83,2366.17,A,17,0
84,570.18,A,16,0
85,19.6,C,13,0
86,9469.23,C,3,0
87,276.85,D,21,0
88,320.21,D,13,0
89,416.6,D,4,0
90,913.14,D,22,0
91,279.13,D,0,0
92,548.65,B,10,0
93,93.71,B,11,0
94,1084.8,C,10,1
95,2792.96,A,13,0
96,6.51,C,16,0
97,175.62,B,20,0
98,38.99,B,20,0
99,422.93,C,19,0
100,1960.44,B,19,0
101,605.76,B,2,0
102,2046.96,C,15,0
103,89.09,C,18,0
104,44.24,A,13,0
105,69.87,A,7,0
106,2.65,B,20,0
107,631.29,A,17,0
108,50.06,B,9,0
109,1329.35,B,4,0
110,2.67,D,1,0
111,63.09,A,5,0
112,114.37,D,21,0
113,154.07,B,15,0
114,425.17,B,10,0
115,191.8,A,11,0
116,131.83,C,11,0
117,787.49,D,11,0
118,3338.81,A,11,1
119,883.99,D,11,0
120,79.67,A,5,0
121,1414.59,B,20,0
122,433.93,D,20,0
123,30.22,D,10,0
124,40.25,D,23,0
125,1560.14,B,1,0
126,202.04,A,12,0
127,228.17,B,1,0
128,222.5,B,5,0
129,11.71,B,5,0
130,626.09,D,22,0
131,469.53,D,15,0
132,5.5,D,22,0
133,516.86,B,17,0
134,39.88,A,10,0
135,2457.26,B,15,0
136,47.82,D,12,0
137,8749.88,D,0,0
138,410.6,D,4,0
139,27.69,A,7,0
140,972.48,C,3,0
141,4578.39,B,16,1
142,1220.15,D,22,0
143,38.8,A,11,0
144,3415.99,D,19,1
145,4439.1,D,20,0
146,116.42,B,0,0
147,13.09,D,21,0
148,119.25,C,20,0
149,117.14,C,17,0
150,389.66,C,6,0
151,22.62,C,20,0
152,1089.87,A,18,0
153,692.34,B,17,0
154,8.32,B,16,0
155,11.02,C,5,0
156,166.37,B,13,0
157,1475.76,C,20,0
158,139.36,C,21,0
159,126.34,A,20,0
160,30.37,A,17,0
161,344.07,B,11,0
162,7128.94,A,21,1
163,40.15,A,12,0
164,53.07,C,11,0
165,252.62,C,15,0
166,1598.68,A,19,1
167,229.51,A,13,0
168,1506.03,C,20,0
169,1524.73,B,16,0
170,45.16,D,11,0
171,1.12,C,18,0
172,426.04,C,10,0
173,166.46,A,1,0
174,3.45,D,13,0
175,155.84,B,1,0
176,283.47,A,18,0
177,19.96,B,21,0
178,201.07,D,9,0
179,93.54,A,19,0
180,304.51,A,20,0
181,30.53,C,7,0
182,1504.31,A,21,0
183,1488.81,C,12,1
184,356.61,A,0,0
185,1546.01,D,13,0
186,143.78,D,6,0
187,109.7,B,8,0
188,17542.87,A,0,0
189,387.28,B,21,0
190,682.7,D,0,0
191,624.51,A,1,0
192,476.86,C,0,0
193,866.82,A,20,0
194,1422.12,A,2,0
195,161.5,C,13,0
196,68.89,A,13,0
197,40.97,C,4,0
198,209.73,D,15,0
199,2364.95,B,16,1
200,8540.26,A,12,0
201,49.13,B,21,0
202,5778.61,C,14,1
203,357.52,D,22,0
204,2.55,C,10,0
205,24.32,A,21,0
206,197.1,C,5,0
207,216.61,D,20,0
208,45.06,D,11,0
209,32721.11,C,21,0
210,423.64,A,12,0
211,351.27,C,23,0
212,487.85,A,2,0
213,2137.19,C,11,0
214,62.03,D,8,0
215,146.43,C,22,0
216,286.48,A,18,0
217,129.66,C,13,0
218,3072.29,A,13,1
219,495.12,D,11,0
220,45.24,C,19,0
221,603.28,C,12,0
222,201.42,A,5,0
223,50.36,C,12,0
224,260.35,C,10,0
225,2928.37,B,19,0
226,377.09,C,16,0
227,125.1,B,13,0
228,446.84,B,20,0
229,208.91,A,5,0
230,2964.2,A,19,1
231,436.32,A,19,0
232,36.38,C,23,0
233,4832.11,B,4,0
234,136.63,C,18,0
235,1573.7,B,15,0
236,1.55,A,0,0
237,281.69,D,0,0
238,125.52,A,19,0
239,188.06,C,10,0
240,920.48,A,12,0
241,323.57,D,11,0
242,308.03,C,6,0
243,13423.29,A,13,0
244,626.28,A,19,0
245,62.95,B,19,0
246,9084.86,B,6,0
247,310.71,D,23,0
248,176.51,C,21,0
249,960.32,C,10,0
250,942.96,A,20,0
251,41.32,D,19,0
252,725.76,B,13,0
253,3516.53,A,7,0
254,7824.02,A,21,0
255,1256.8,C,13,0
256,1752.2,B,14,1
257,355.87,C,10,0
258,467.4,C,13,0
259,1570.02,D,23,0
260,9500.5,B,20,1
261,17617.09,D,11,0
262,189.06,C,13,0
263,4530.24,A,13,0
264,110.66,C,13,0
265,251.23,A,21,0
266,240.06,C,8,0
267,2246.56,C,12,0
268,141.16,B,16,0
269,123.84,C,11,0
270,44.18,B,11,0
271,2026.39,A,2,0
272,1946.69,A,13,0
273,79.71,D,20,0
274,813.46,B,22,0
275,9.21,D,14,0
276,12.34,B,8,0
277,240.57,B,11,0
278,5125.71,C,3,0
279,575.93,C,21,0
280,25.14,A,20,0
281,207.39,C,11,0
282,197.44,C,20,0
283,198.91,A,21,0
284,69.67,C,19,0
285,683.46,A,20,0
286,109.56,B,1,0
287,306.68,B,2,0
288,7.01,A,23,0
289,91.95,A,7,0
290,81.4,C,6,0
291,387.57,D,3,0
292,789.83,B,5,0
293,575.68,B,4,0
294,3596.2,A,21,0
295,48.94,A,13,0
296,27.89,A,11,0
297,468.18,B,12,0
298,3193.1,D,4,0
299,35.8,A,16,0
300,19.56,D,11,0
301,1687.0,B,21,1
302,415.35,D,23,0
303,38.75,C,13,0
304,388.12,A,20,0
305,106.9,C,19,0
306,455.6,C,23,0
307,573.88,A,19,0
308,63.06,A,7,0
309,896.44,D,1,0
310,431.11,B,19,0
311,14.66,B,0,0
312,1.77,B,16,0
313,160.88,D,0,0
314,83.44,B,7,0
315,418.31,B,20,0
316,295.92,C,21,0
317,2948.09,A,2,0
318,69.55,A,12,0
319,55.01,D,17,0
320,9.55,A,7,0
321,1220.19,B,19,0
322,1330.87,A,7,1
323,464.89,C,1,0
324,3.53,A,21,0
325,36.67,A,21,0
326,406.53,D,11,0
327,25.65,D,0,0
328,68.04,A,10,0
329,1206.6,D,23,0
330,1021.79,B,21,0
331,158.74,C,21,0
332,10.75,B,3,0
333,132.71,A,16,0
334,274.52,D,3,0
335,180.6,C,9,0
336,1883.81,C,13,1
337,3585.48,C,11,1
338,691.43,C,11,0
339,882.91,B,19,0
340,29.31,C,12,0
341,71.91,C,19,0
342,177.73,B,13,0
343,23.88,A,0,0
344,32.89,A,13,0
345,74.78,A,20,0
346,18.97,D,9,0
347,11065.91,D,19,0
348,35.43,C,12,0
349,60.59,D,19,0
350,5.2,D,20,0
351,235.73,D,20,0
352,99.22,D,11,0
353,1179.8,B,2,0
354,1314.22,C,20,0
355,4565.41,A,11,0
356,18.57,C,16,0
357,1114.58,D,15,1
358,535.17,D,5,0
359,101.34,D,3,0
360,1.2,C,17,0
361,772.35,A,22,0
362,325.07,A,13,0
363,651.63,C,22,0
364,21.66,A,11,0
365,488.47,B,0,0
366,521.95,C,19,0
367,1348.68,C,18,1
368,210.51,C,21,0
369,124.39,D,8,0
370,260.85,D,13,0
371,118.87,A,5,0
372,3.75,B,11,0
373,32404.18,C,19,0
374,16778.14,A,22,0
375,990.61,C,5,0
376,1131.24,D,13,0
377,175.93,D,13,0
378,202.82,D,15,0
379,149.33,D,6,0
380,267.63,C,14,0
381,12.54,B,0,0
382,158.67,A,7,0
383,724.19,C,11,0
384,346.15,D,18,0
385,2836.87,B,12,1
386,235.65,C,20,0
387,25.57,A,12,0
388,110.0,A,13,0
389,1234.91,B,14,0
390,346.08,D,8,0
391,187.73,B,22,0
392,165.86,A,13,0
393,207.24,A,19,0
394,13.8,D,16,0
395,6897.35,A,20,1
396,843.68,D,11,0
397,32.79,B,11,0
398,97.75,D,20,0
399,9.24,C,13,0
400,36.55,B,3,0
401,856.74,D,11,0
402,17.58,C,7,0
403,3480.28,C,13,1
404,591.18,D,5,0
405,1192.71,C,6,0
406,1432.69,A,10,0
407,3688.46,B,6,1
408,223.63,C,10,0
409,250.21,B,9,0
410,431.07,A,11,0
411,128.22,D,0,0
412,2402.88,C,18,1
413,378.84,A,5,0
414,1480.55,C,11,0
415,496.66,D,5,0
416,2403.39,B,6,0
417,49.97,C,13,0
418,43.89,D,13,0
419,163.1,A,11,0
420,1685.12,C,16,0
421,2395.25,B,2,0
422,31185.33,B,8,1
423,248.54,B,2,0
424,823.76,C,17,0
425,810.84,B,17,0
426,353.54,C,19,0
427,4054.61,C,17,1
428,16.47,D,20,0
429,274.65,A,18,0
430,75.13,B,12,0
431,45.37,B,20,0
432,231.66,D,0,0
433,636.46,B,0,0
434,34.34,A,12,0
435,106.27,A,19,0
436,537.71,D,20,0
437,3022.84,C,1,1
438,752.06,A,0,0
439,853.15,D,21,0
440,3008.27,C,13,1
441,8633.76,C,10,0
442,91.45,B,19,0
443,5212.77,C,12,0
444,170.91,B,12,0
445,265.38,B,16,0
446,1923.04,D,20,0
447,274.23,B,22,0
448,2330.04,C,23,0
449,3714.47,D,16,0
450,4976.88,C,21,0
451,1187.94,D,11,0
452,4993.53,B,12,0
453,82.4,A,0,0
454,16.46,A,19,0
455,2464.61,A,6,0
456,87.32,D,13,0
457,1204.41,A,3,1
458,413.34,C,0,0
459,20.98,D,12,0
460,734.25,C,20,0
461,3435.65,C,15,0
462,10.07,B,12,0
463,1212.4,A,2,1
464,85.96,D,8,0
465,821.92,C,10,0
466,28.46,A,17,0
467,109.71,C,13,0
468,1005.72,B,0,0
469,107.31,C,19,0
470,15.4,A,17,0
471,244.84,C,10,0
472,1549.08,B,19,0
473,179.78,A,11,0
474,44.15,A,10,0
475,195.83,B,6,0
476,790.29,C,14,0
477,24.52,C,17,0
478,85.76,B,20,0
479,37.48,B,2,0
480,48.94,A,21,0
481,47.65,B,20,0
482,22.13,C,11,0
483,72.69,D,6,0
484,8.56,A,8,0
485,44.27,D,5,0
486,92.06,A,10,0
487,138.16,B,10,0
488,50.68,B,10,0
489,410.98,B,13,0
490,6018.11,D,21,1
491,9.34,A,21,0
492,46.55,C,0,0
493,101.95,B,20,0
494,19.41,C,16,0
495,36.56,D,13,0
496,159.55,C,8,0
497,4530.24,C,4,0
498,1626.05,C,8,1
499,1889.42,C,22,0
500,217.96,B,6,0
501,27.26,C,19,0
502,121.54,B,19,0
503,2068.01,C,6,0
504,354.36,D,2,0
505,707.52,B,19,0
506,651.45,B,16,0
507,337.06,B,1,0
508,273.28,D,8,0
509,634.67,A,6,0
510,50.41,B,19,0
511,8.26,A,10,0
512,160.68,B,10,0
513,781.75,A,13,0
514,5830.71,A,13,0
515,41.98,B,2,0
516,341.67,B,1,0
517,1880.65,B,19,0
518,399.14,B,8,0
519,710.39,D,18,0
520,3399.06,A,2,0
521,5137.56,A,13,0
522,120.76,D,21,0
523,22.53,C,10,0
524,5559.98,B,1,0
525,3516.66,D,20,1
526,665.91,D,14,0
527,46.82,B,20,0
528,960.34,C,17,0
529,144.68,A,2,0
530,424.08,A,13,0
531,256.11,A,21,0
532,34485.39,A,15,0
533,725.85,B,6,0
534,3247.96,B,21,0
535,2181.68,C,6,0
536,141.83,B,17,0
537,80.24,C,6,0
538,21.25,B,1,0
539,300.68,A,23,0
540,186.4,C,23,0
541,549.78,B,21,0
542,354.69,B,19,0
543,2306.34,D,19,1
544,470.07,C,23,0
545,403.06,B,2,0
546,2147.86,A,22,0
547,30.45,A,1,0
548,31.41,B,18,0
549,205.05,C,23,0
550,427.94,C,12,0
551,1651.29,D,13,0
552,467.05,C,10,0
553,18.44,B,11,0
554,1142.94,C,14,1
555,135.37,C,19,0
556,2.31,B,13,0
557,4.49,B,7,0
558,1178.23,A,20,0
559,7384.81,D,11,0
560,395.88,C,20,0
561,756.06,B,19,0
562,80.37,C,16,0
563,97.1,B,11,0
564,79.41,C,21,0
565,160.44,C,10,0
566,47.16,A,21,0
567,276.81,B,12,0
568,49.75,B,16,0
569,6551.39,D,7,0
570,914.39,A,1,0
571,229.32,D,13,0
572,2077.23,C,6,0
573,70.69,B,6,0
574,793.78,D,4,0
575,216.91,B,0,0
576,2869.36,C,2,0
577,572.79,A,21,0
578,9254.66,D,23,0
579,1378.4,A,20,0
580,467.87,A,13,0
581,466.92,A,20,0
582,218.67,C,2,0
583,273.79,D,11,0
584,44.88,A,21,0
585,81.91,C,21,0
586,90.98,C,9,0
587,1814.66,C,19,0
588,751.66,B,10,0
589,1653.01,C,0,0
590,691.84,A,2,0
591,5901.61,C,2,0
592,981.41,B,4,0
593,112.13,A,13,0
594,15681.55,C,11,1
595,852.53,A,21,0
596,1899.34,D,23,1
597,95.88,D,12,0
598,602.83,A,6,0
599,17.7,D,16,0
600,1228.58,B,20,0
601,64.34,D,14,0
602,166.93,C,10,0
603,791.44,A,9,0
604,53.89,C,21,0
605,20.55,B,8,0
