transaction_id,data,valor,hora,categoria,categoria_cod,qtd_transacoes_24h,is_fraud
TXN_OUT_000000,2025-10,6061.08894026018,1,eletronicos,7,10,1
TXN_OUT_000001,2025-10,35.70043527128236,11,transporte,3,5,0
TXN_OUT_000002,2025-10,171.5382106059725,21,eletronicos,7,1,0
TXN_OUT_000003,2025-10,113.72801007078752,13,lazer,6,3,0
TXN_OUT_000004,2025-10,205.69932583087873,21,assinatura,9,1,0
TXN_OUT_000005,2025-10,583.4989570679925,23,eletronicos,7,5,0
TXN_OUT_000006,2025-10,165.40771856907585,16,restaurante,5,5,0
TXN_OUT_000007,2025-10,909.2350603871371,13,eletronicos,7,4,0
TXN_OUT_000008,2025-10,94.34357784007852,13,alimentacao,1,2,0
TXN_OUT_000009,2025-10,280.82409092649607,23,livros,8,4,0
TXN_OUT_000010,2025-10,54.88114702689152,10,transporte,3,1,0
TXN_OUT_000011,2025-10,134.90139600817736,21,eletronicos,7,3,0
TXN_OUT_000012,2025-10,401.79189088934936,18,lazer,6,3,0
TXN_OUT_000013,2025-10,67.00624877707118,8,alimentacao,1,1,0
TXN_OUT_000014,2025-10,215.1074422828503,16,transporte,3,2,0
TXN_OUT_000015,2025-10,22.562111324529305,13,alimentacao,1,1,0
TXN_OUT_000016,2025-10,249.71159869063337,15,vestuario,4,3,0
TXN_OUT_000017,2025-10,145.43608734784388,17,alimentacao,1,3,0
TXN_OUT_000018,2025-10,867.8931318375242,11,vestuario,4,4,0
TXN_OUT_000019,2025-10,7642.5125352700525,1,eletronicos,7,15,1
TXN_OUT_000020,2025-10,257.23264761780655,17,lazer,6,1,0
TXN_OUT_000021,2025-10,1567.2105733095639,3,eletronicos,7,4,0
TXN_OUT_000022,2025-10,2388.5089047432493,23,eletronicos,7,16,1
TXN_OUT_000023,2025-10,249.97679180416694,20,lazer,6,4,0
TXN_OUT_000024,2025-10,800.0,12,supermercado,10,11,1
TXN_OUT_000025,2025-10,174.1966743121357,14,transporte,3,2,0
TXN_OUT_000026,2025-10,138.96885011993749,21,eletronicos,7,3,0
TXN_OUT_000027,2025-10,174.5604164188989,13,restaurante,5,3,0
TXN_OUT_000028,2025-10,475.6906994756685,20,vestuario,4,4,0
TXN_OUT_000029,2025-10,206.26795803116696,15,farmacia,2,2,0
TXN_OUT_000030,2025-10,189.09595349047981,13,alimentacao,1,3,0
TXN_OUT_000031,2025-10,300.74313901024505,16,lazer,6,5,0
TXN_OUT_000032,2025-10,151.2322228681095,10,alimentacao,1,1,0
TXN_OUT_000033,2025-10,261.53493179401045,15,vestuario,4,4,0
TXN_OUT_000034,2025-10,342.4666203505811,19,vestuario,4,2,0
TXN_OUT_000035,2025-10,137.10601369536002,17,farmacia,2,5,0
TXN_OUT_000036,2025-10,1161.4025873169132,0,eletronicos,7,8,0
TXN_OUT_000037,2025-10,83.79424464223425,22,livros,8,2,0
TXN_OUT_000038,2025-10,414.83131968591533,16,vestuario,4,2,0
TXN_OUT_000039,2025-10,26.666635098861153,16,alimentacao,1,1,0
TXN_OUT_000040,2025-10,209.5395938114132,11,farmacia,2,3,0
TXN_OUT_000041,2025-10,800.0,12,vestuario,4,12,1
TXN_OUT_000042,2025-10,80.54977913675678,17,transporte,3,2,0
TXN_OUT_000043,2025-10,146.21181483993462,11,alimentacao,1,2,0
TXN_OUT_000044,2025-10,610.5634148276323,16,vestuario,4,5,0
TXN_OUT_000045,2025-10,472.7986475028148,20,vestuario,4,7,0
TXN_OUT_000046,2025-10,153.08409164941773,11,farmacia,2,2,0
TXN_OUT_000047,2025-10,851.6195556945192,21,vestuario,4,2,0
TXN_OUT_000048,2025-10,85.82758635783799,17,alimentacao,1,2,0
TXN_OUT_000049,2025-10,995.3289647397536,21,eletronicos,7,7,0
TXN_OUT_000050,2025-10,1187.463878782339,19,eletronicos,7,3,0
TXN_OUT_000051,2025-10,158.78351049197977,14,farmacia,2,1,0
TXN_OUT_000052,2025-10,188.36642478776602,23,eletronicos,7,1,0
TXN_OUT_000053,2025-10,91.80983604006497,14,farmacia,2,3,0
TXN_OUT_000054,2025-10,190.34319902162713,19,vestuario,4,3,0
TXN_OUT_000055,2025-10,1168.1990613196335,4,eletronicos,7,7,0
TXN_OUT_000056,2025-10,582.2993557348711,20,livros,8,1,0
TXN_OUT_000057,2025-10,1306.6798788539631,20,supermercado,10,5,0
TXN_OUT_000058,2025-10,364.3268492164659,22,livros,8,1,0
TXN_OUT_000059,2025-10,90.56960819141854,10,transporte,3,1,0
TXN_OUT_000060,2025-10,218.48947009901036,22,livros,8,2,0
TXN_OUT_000061,2025-10,229.31697056013735,21,restaurante,5,2,0
TXN_OUT_000062,2025-10,1174.4391801145846,13,eletronicos,7,3,0
TXN_OUT_000063,2025-10,256.0481344957239,16,restaurante,5,2,0
TXN_OUT_000064,2025-10,3305.8597501292516,0,joias,11,12,1
TXN_OUT_000065,2025-10,4251.947036771476,3,eletronicos,7,14,1
TXN_OUT_000066,2025-10,347.8730394097019,17,vestuario,4,4,0
TXN_OUT_000067,2025-10,457.79573531786946,21,livros,8,3,0
TXN_OUT_000068,2025-10,142.2210669010375,13,alimentacao,1,3,0
TXN_OUT_000069,2025-10,190.09242905727712,23,livros,8,1,0
TXN_OUT_000070,2025-10,192.0127246521781,20,assinatura,9,2,0
TXN_OUT_000071,2025-10,267.5946871110982,12,alimentacao,1,2,0
TXN_OUT_000072,2025-10,691.9013521528972,19,assinatura,9,1,0
TXN_OUT_000073,2025-10,251.02973041816614,17,restaurante,5,5,0
TXN_OUT_000074,2025-10,635.8455958980836,21,restaurante,5,3,0
TXN_OUT_000075,2025-10,133.7716257184634,9,farmacia,2,3,0
TXN_OUT_000076,2025-10,773.4245347637748,6,eletronicos,7,2,0
TXN_OUT_000077,2025-10,187.205360385133,19,vestuario,4,4,0
TXN_OUT_000078,2025-10,29.665225368236303,16,transporte,3,3,0
TXN_OUT_000079,2025-10,5480.85157136781,5,eletronicos,7,10,1
TXN_OUT_000080,2025-10,437.87986732697226,8,transporte,3,1,0
TXN_OUT_000081,2025-10,164.3448557346841,12,vestuario,4,3,0
TXN_OUT_000082,2025-10,336.68917227198625,22,eletronicos,7,1,0
TXN_OUT_000083,2025-10,591.599640158485,19,eletronicos,7,7,0
TXN_OUT_000084,2025-10,1271.7966549707478,17,eletronicos,7,4,0
TXN_OUT_000085,2025-10,200.7977104849422,19,livros,8,1,0
TXN_OUT_000086,2025-10,1532.702630260718,5,supermercado,10,3,0
TXN_OUT_000087,2025-10,197.26472656704323,8,alimentacao,1,3,0
TXN_OUT_000088,2025-10,52.10986391890506,12,farmacia,2,3,0
TXN_OUT_000089,2025-10,945.5222882998406,9,eletronicos,7,7,0
TXN_OUT_000090,2025-10,1362.2299658136512,2,vestuario,4,6,0
TXN_OUT_000091,2025-10,731.2074930811866,14,supermercado,10,3,0
TXN_OUT_000092,2025-10,127.13847178431911,13,farmacia,2,1,0
TXN_OUT_000093,2025-10,48.45682700516303,11,farmacia,2,2,0
TXN_OUT_000094,2025-10,6337.995019245793,1,joias,11,16,1
TXN_OUT_000095,2025-10,3332.2087526133864,5,joias,11,10,1
TXN_OUT_000096,2025-10,100.0,18,vestuario,4,2,0
TXN_OUT_000097,2025-10,288.8629788798129,19,livros,8,1,0
TXN_OUT_000098,2025-10,571.6759049501305,23,eletronicos,7,1,0
TXN_OUT_000099,2025-10,982.0175791225442,12,eletronicos,7,14,1
TXN_OUT_000100,2025-10,286.83578407957145,21,restaurante,5,4,0
TXN_OUT_000101,2025-10,291.67387638658977,20,lazer,6,1,0
TXN_OUT_000102,2025-10,25.823349545838273,11,alimentacao,1,1,0
TXN_OUT_000103,2025-10,431.56419146247214,22,assinatura,9,2,0
TXN_OUT_000104,2025-10,109.61047683397858,13,alimentacao,1,1,0
TXN_OUT_000105,2025-10,502.96459975538824,21,restaurante,5,2,0
TXN_OUT_000106,2025-10,77.09796475073969,17,farmacia,2,3,0
TXN_OUT_000107,2025-10,95.75870965541382,17,alimentacao,1,2,0
TXN_OUT_000108,2025-10,219.56019282492775,14,transporte,3,2,0
TXN_OUT_000109,2025-10,258.70291862913393,14,farmacia,2,3,0
TXN_OUT_000110,2025-10,155.45580115277176,17,vestuario,4,3,0
TXN_OUT_000111,2025-10,526.4634098038064,23,assinatura,9,1,0
TXN_OUT_000112,2025-10,124.12304595677136,20,restaurante,5,3,0
TXN_OUT_000113,2025-10,644.4697519852707,15,eletronicos,7,10,0
TXN_OUT_000114,2025-10,289.78126246160787,21,vestuario,4,1,0
TXN_OUT_000115,2025-10,81.52128299206353,8,farmacia,2,2,0
TXN_OUT_000116,2025-10,184.07110187482562,14,lazer,6,4,0
TXN_OUT_000117,2025-10,224.28938144019548,21,lazer,6,2,0
TXN_OUT_000118,2025-10,123.29169902486919,11,farmacia,2,3,0
TXN_OUT_000119,2025-10,973.8340510289888,21,vestuario,4,4,0
TXN_OUT_000120,2025-10,6286.367709714574,5,eletronicos,7,17,1
TXN_OUT_000121,2025-10,218.2371747385564,18,lazer,6,1,0
TXN_OUT_000122,2025-10,598.756592952595,21,lazer,6,3,0
TXN_OUT_000123,2025-10,72.87470363064155,15,alimentacao,1,2,0
TXN_OUT_000124,2025-10,142.89827753788467,10,transporte,3,1,0
TXN_OUT_000125,2025-10,1985.5572143318745,20,vestuario,4,2,0
TXN_OUT_000126,2025-10,122.1447240427143,10,farmacia,2,5,0
TXN_OUT_000127,2025-10,933.511057486245,13,vestuario,4,4,0
TXN_OUT_000128,2025-10,266.184383903871,21,livros,8,2,0
TXN_OUT_000129,2025-10,40.30524521397725,9,transporte,3,2,0
TXN_OUT_000130,2025-10,3000.0,3,eletronicos,7,10,1
TXN_OUT_000131,2025-10,3831.838373405213,1,eletronicos,7,11,1
TXN_OUT_000132,2025-10,898.2952908978638,21,restaurante,5,2,0
TXN_OUT_000133,2025-10,62.653422752505435,15,farmacia,2,1,0
TXN_OUT_000134,2025-10,469.47512773735315,18,lazer,6,1,0
TXN_OUT_000135,2025-10,110.50346185691276,21,assinatura,9,2,0
TXN_OUT_000136,2025-10,2800.9132132078653,23,eletronicos,7,13,1
TXN_OUT_000137,2025-10,800.0,18,eletronicos,7,12,1
TXN_OUT_000138,2025-10,691.0455861165622,21,vestuario,4,6,0
TXN_OUT_000139,2025-10,1643.343153890655,8,vestuario,4,5,0
TXN_OUT_000140,2025-10,234.52063360767366,20,livros,8,2,0
TXN_OUT_000141,2025-10,19.4880328492127,13,transporte,3,1,0
TXN_OUT_000142,2025-10,556.1666931671401,9,supermercado,10,4,0
TXN_OUT_000143,2025-10,785.6017742759727,18,vestuario,4,6,0
TXN_OUT_000144,2025-10,788.0054964111906,5,eletronicos,7,3,0
TXN_OUT_000145,2025-10,132.15687094512057,17,alimentacao,1,1,0
TXN_OUT_000146,2025-10,395.97264201698044,17,vestuario,4,6,0
TXN_OUT_000147,2025-10,95.74591206335103,19,assinatura,9,1,0
TXN_OUT_000148,2025-10,91.3875826386724,9,alimentacao,1,1,0
TXN_OUT_000149,2025-10,45.97224776434183,11,farmacia,2,2,0
TXN_OUT_000150,2025-10,727.4094636861564,8,vestuario,4,6,0
TXN_OUT_000151,2025-10,405.4607620260448,16,vestuario,4,4,0
TXN_OUT_000152,2025-10,70.36892839048585,11,transporte,3,6,0
TXN_OUT_000153,2025-10,329.7046762467842,21,livros,8,2,0
TXN_OUT_000154,2025-10,103.77107857171058,12,alimentacao,1,1,0
TXN_OUT_000155,2025-10,67.71778256816744,15,alimentacao,1,4,0
TXN_OUT_000156,2025-10,55.978837643577776,13,farmacia,2,1,0
TXN_OUT_000157,2025-10,1009.9527504288844,4,eletronicos,7,4,0
TXN_OUT_000158,2025-10,57.55246705940087,10,alimentacao,1,3,0
TXN_OUT_000159,2025-10,500.0,23,vestuario,4,5,0
TXN_OUT_000160,2025-10,690.9161814714907,16,lazer,6,4,0
TXN_OUT_000161,2025-10,278.2295237048125,15,lazer,6,2,0
TXN_OUT_000162,2025-10,47.215203262675914,11,alimentacao,1,2,0
