epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.1502,3.70836,4.3456,4.2283,0.00082,0.1,0.00053,0.00022,3.48236,4.40591,4.15942,0.00013336,0.00013336,0.00013336
2,71.8891,3.74298,4.26354,4.18461,0.00082,0.1,0.00058,0.00024,3.47851,4.40549,4.15557,0.000281987,0.000281987,0.000281987
3,107.395,3.52191,4.1427,4.13698,0.00085,0.1,0.00061,0.00025,3.47364,4.40336,4.14614,0.000429129,0.000429129,0.000429129
4,142.808,3.626,4.04952,4.10992,0.00085,0.1,0.00055,0.00025,3.47034,4.39558,4.13556,0.000574786,0.000574786,0.000574786
5,179.532,3.53351,3.89384,4.00616,0.00085,0.1,0.0006,0.00024,3.47573,4.36274,4.13188,0.000718957,0.000718957,0.000718957
6,215.04,3.25321,3.75439,3.80913,0.00063,0.06667,0.00041,0.00017,3.50272,4.45658,4.17257,0.000861643,0.000861643,0.000861643
7,251.211,3.1307,3.76318,3.65688,0.0004,0.03333,0.0029,0.00035,3.53244,4.50214,4.21806,0.00100284,0.00100284,0.00100284
8,287.029,3.16198,3.56895,3.48793,0.00087,0.06667,0.00068,7e-05,3.63188,4.51534,4.31855,0.00114256,0.00114256,0.00114256
9,322.059,3.0065,3.58743,3.40046,0,0,0,0,3.72403,4.63461,4.45041,0.00128079,0.00128079,0.00128079
10,357.593,2.97268,3.47447,3.22965,0.00054,0.03333,0.00077,0.00011,3.72814,4.57973,4.4619,0.00141753,0.00141753,0.00141753
11,393.13,3.05147,3.50167,3.14574,0.0013,0.1,0.00462,0.00139,3.52974,4.14929,4.11871,0.00155279,0.00155279,0.00155279
12,429.077,2.92978,3.41782,3.06562,0.00357,0.30476,0.00757,0.00282,3.13687,4.1029,3.65213,0.00157623,0.00157623,0.00157623
13,465.03,2.90249,3.29555,2.93387,0.00412,0.37143,0.01637,0.0046,2.98955,3.98719,3.52075,0.00156798,0.00156798,0.00156798
14,501.292,2.83975,3.22155,2.87141,0.1079,0.13571,0.07245,0.02432,2.3909,3.43555,2.98965,0.00155973,0.00155973,0.00155973
15,537.116,2.76875,3.17188,2.84856,0.10499,0.10063,0.04344,0.01562,2.35313,3.57793,3.05401,0.00155148,0.00155148,0.00155148
16,573.124,2.6361,3.18136,2.81091,0.18545,0.20714,0.1009,0.04166,2.12723,3.19825,2.81729,0.00154323,0.00154323,0.00154323
17,609.017,2.64614,3.04267,2.70739,0.16222,0.30471,0.14643,0.07058,2.15622,2.92412,2.61485,0.00153497,0.00153497,0.00153497
18,645.264,2.55144,2.86151,2.59974,0.1834,0.38095,0.14304,0.07018,2.14477,3.00368,2.47968,0.00152672,0.00152672,0.00152672
19,681.614,2.55988,3.00573,2.70829,0.2928,0.48333,0.27126,0.13569,2.03273,2.61676,2.39849,0.00151847,0.00151847,0.00151847
20,718.82,2.57933,2.97643,2.71524,0.65022,0.41429,0.4992,0.23656,1.92139,2.66614,2.46491,0.00151022,0.00151022,0.00151022
21,754.77,2.51764,2.91402,2.62095,0.39544,0.65995,0.49063,0.22921,2.04785,2.3903,2.34522,0.00150197,0.00150197,0.00150197
22,791.104,2.48079,2.79758,2.51332,0.16457,0.37143,0.21585,0.11174,1.97508,2.69766,2.242,0.00149372,0.00149372,0.00149372
23,827.49,2.49045,2.83253,2.57857,0.85437,0.26667,0.42253,0.22615,1.82761,2.30156,2.08072,0.00148546,0.00148546,0.00148546
