epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.5402,1.68429,3.34403,1.54449,0.00736,0.60714,0.35287,0.23439,1.12944,3.43549,1.13085,0.00026672,0.00026672,0.00026672
2,20.8006,1.53993,2.09507,1.37469,1,0.45377,0.55595,0.34399,1.40987,2.46318,1.1985,0.000544664,0.000544664,0.000544664
3,30.507,1.43984,1.72892,1.27674,1,0.3937,0.5952,0.40334,1.26532,2.42481,1.09569,0.000816997,0.000816997,0.000816997
4,39.9374,1.46246,1.63484,1.29576,0.83837,0.5,0.72538,0.48727,1.15504,2.20301,1.0722,0.00108372,0.00108372,0.00108372
5,49.6257,1.46934,1.5925,1.32568,0.80503,0.74291,0.85973,0.54561,1.11774,1.70532,1.07249,0.00134483,0.00134483,0.00134483
6,59.0093,1.48111,1.6217,1.29812,0.81484,0.82143,0.84825,0.55091,1.30161,1.50413,1.1364,0.00158448,0.00158448,0.00158448
7,69.0265,1.4709,1.55868,1.3198,0.62376,0.85261,0.81249,0.49336,1.39205,1.56306,1.20962,0.00156798,0.00156798,0.00156798
8,79.6475,1.46006,1.43038,1.31458,0.8321,0.59834,0.81461,0.50123,1.34395,1.64645,1.24427,0.00155148,0.00155148,0.00155148
9,89.6858,1.40557,1.41252,1.29175,0.86444,0.75637,0.83333,0.52704,1.29892,1.3564,1.22403,0.00153497,0.00153497,0.00153497
10,99.7596,1.41789,1.32662,1.23991,0.86589,0.89469,0.87055,0.48307,1.54119,1.48097,1.32324,0.00151847,0.00151847,0.00151847
11,110.718,1.37381,1.32491,1.24679,0.89526,0.95119,0.91226,0.57044,1.26606,1.45725,1.20806,0.00150197,0.00150197,0.00150197
12,120.429,1.29351,1.26393,1.21258,0.75472,0.895,0.91063,0.50634,1.47008,1.21809,1.3662,0.00148546,0.00148546,0.00148546
13,130.536,1.3222,1.25857,1.20616,0.92516,0.87142,0.89755,0.50748,1.46685,1.24214,1.30149,0.00146896,0.00146896,0.00146896
14,140.508,1.35866,1.31815,1.23902,0.88053,0.92857,0.93618,0.60894,1.24312,1.08076,1.14922,0.00145246,0.00145246,0.00145246
15,150.397,1.31333,1.253,1.24124,0.97236,0.89286,0.92916,0.59765,1.32944,1.14745,1.20828,0.00143595,0.00143595,0.00143595
16,161.255,1.2912,1.22119,1.22044,0.95967,0.87029,0.93638,0.62541,1.19077,1.05922,1.14384,0.00141945,0.00141945,0.00141945
17,173.249,1.2895,1.23327,1.22331,0.89513,0.85714,0.9337,0.5904,1.20262,1.04172,1.17294,0.00140295,0.00140295,0.00140295
18,185.57,1.26158,1.12826,1.16108,0.94075,0.84375,0.92809,0.60183,1.22387,1.13654,1.20328,0.00138644,0.00138644,0.00138644
19,197.538,1.22487,1.15613,1.17699,0.91403,0.85714,0.90955,0.58166,1.26697,1.0945,1.17063,0.00136994,0.00136994,0.00136994
20,210.564,1.25757,1.11604,1.21189,0.83402,0.94607,0.90143,0.57235,1.34518,1.03302,1.24806,0.00135344,0.00135344,0.00135344
21,223.243,1.25374,1.09171,1.18709,0.85137,0.96429,0.92541,0.6171,1.18521,1.05283,1.14703,0.00133693,0.00133693,0.00133693
22,236.29,1.26722,1.04738,1.19243,0.85588,0.91924,0.90433,0.59176,1.2991,1.04588,1.24401,0.00132043,0.00132043,0.00132043
23,249.474,1.21647,1.08564,1.18684,0.9263,0.92258,0.96718,0.65241,1.1808,0.99226,1.16481,0.00130393,0.00130393,0.00130393
24,262.344,1.23199,1.09892,1.22127,0.95323,0.85727,0.97542,0.64168,1.22044,0.92116,1.19482,0.00128742,0.00128742,0.00128742
25,276.227,1.17084,0.95475,1.13608,0.90897,0.92857,0.94315,0.64958,1.16398,0.89105,1.17596,0.00127092,0.00127092,0.00127092
26,288.905,1.12593,0.9289,1.11355,0.93158,0.94606,0.9661,0.59608,1.30159,0.93675,1.21706,0.00125442,0.00125442,0.00125442
27,300.824,1.17446,0.95724,1.14068,0.9336,0.91956,0.95815,0.57934,1.14666,0.94216,1.14032,0.00123791,0.00123791,0.00123791
28,314.063,1.16655,0.95489,1.15124,0.88888,0.92857,0.91774,0.5873,1.34854,0.93998,1.24434,0.00122141,0.00122141,0.00122141
29,325.872,1.17144,0.94685,1.12915,0.93115,0.92857,0.93887,0.6037,1.38053,0.90487,1.28975,0.00120491,0.00120491,0.00120491
30,338.125,1.14479,0.94049,1.14932,0.93789,0.92072,0.96212,0.63162,1.23378,0.84691,1.20628,0.0011884,0.0011884,0.0011884
31,350.102,1.13522,0.91279,1.13066,0.93746,0.89286,0.92849,0.59104,1.32025,0.83083,1.33688,0.0011719,0.0011719,0.0011719
32,361.194,1.15475,0.95222,1.19024,0.93641,0.95812,0.96076,0.61007,1.26151,0.78088,1.22447,0.0011554,0.0011554,0.0011554
33,372.198,1.10314,0.90058,1.10869,0.97453,0.92537,0.99033,0.66183,1.15953,0.75561,1.15842,0.00113889,0.00113889,0.00113889
34,382.928,1.11213,0.86228,1.09594,0.98477,0.9623,0.99267,0.61933,1.22351,0.75231,1.21832,0.00112239,0.00112239,0.00112239
35,394.847,1.11842,0.86638,1.10852,0.95211,0.88854,0.92638,0.60723,1.2023,0.76383,1.20145,0.00110589,0.00110589,0.00110589
36,405.715,1.06434,0.8386,1.08909,0.99339,0.94929,0.99063,0.65491,1.09755,0.74381,1.1259,0.00108938,0.00108938,0.00108938
