epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.1984,1.8135,3.58429,1.81217,0.00311,0.9,0.28174,0.17264,1.43352,4.14795,1.561,0.00020004,0.00020004,0.00020004
2,52.2319,1.56636,2.98186,1.68903,0.0033,0.95,0.54048,0.29496,1.2519,3.72495,1.36682,0.000402997,0.000402997,0.000402997
3,77.1383,1.45652,2.73442,1.61363,0.0033,0.95,0.32521,0.16251,1.23024,3.81503,1.41749,0.000591652,0.000591652,0.000591652
4,102.493,1.49477,2.53127,1.58423,0.0031,0.9,0.36514,0.20084,1.57123,3.79765,1.67986,0.000766003,0.000766003,0.000766003
5,126.499,1.43991,2.56246,1.56783,0.19876,0.13333,0.10848,0.05227,1.79428,4.14092,1.92409,0.000926052,0.000926052,0.000926052
6,149.682,1.51186,2.62794,1.63493,0.54032,0.30793,0.27742,0.09224,1.86322,4.06671,2.23948,0.0010718,0.0010718,0.0010718
7,172.898,1.41434,2.3656,1.51003,0.92079,0.25,0.36968,0.15131,1.81872,4.18994,2.34496,0.00120324,0.00120324,0.00120324
8,196.432,1.44827,2.38697,1.52909,0.50499,0.5,0.31384,0.13896,1.90317,4.14177,2.14609,0.00128192,0.00128192,0.00128192
9,220.646,1.38039,2.21967,1.46381,0.687,0.46667,0.419,0.22083,1.80928,3.49425,2.08501,0.00122691,0.00122691,0.00122691
10,244.116,1.40983,2.34787,1.50781,0.5438,0.85,0.67145,0.35721,1.61345,2.85843,1.85395,0.0011719,0.0011719,0.0011719
11,267.87,1.32676,2.02212,1.4293,0.37537,0.8,0.46291,0.24029,1.43661,3.31868,1.65218,0.00111689,0.00111689,0.00111689
12,291.253,1.34246,2.10083,1.37672,0.36968,0.31967,0.32736,0.16907,1.78976,3.955,1.9935,0.00106188,0.00106188,0.00106188
13,313.706,1.30361,2.06601,1.40283,0.63201,0.45513,0.48706,0.26125,1.66431,3.50068,1.86025,0.00100687,0.00100687,0.00100687
14,337.21,1.28522,2.03702,1.39556,0.81523,0.46667,0.57519,0.29918,1.6014,3.85504,1.7595,0.000951857,0.000951857,0.000951857
15,360.05,1.28143,2.02024,1.40816,0.71436,0.68333,0.62968,0.41547,1.54584,3.07781,1.69908,0.000896846,0.000896846,0.000896846
16,382.943,1.21756,1.84762,1.36842,0.70886,0.67718,0.64007,0.41359,1.54284,2.83089,1.6828,0.000841835,0.000841835,0.000841835
17,405.88,1.18172,1.74594,1.34156,0.78443,0.5266,0.6149,0.33254,1.79378,3.47184,1.90567,0.000786824,0.000786824,0.000786824
18,428.84,1.15492,1.7633,1.31497,0.65874,0.53731,0.53626,0.289,1.82847,3.54516,2.00496,0.000731813,0.000731813,0.000731813
19,451.538,1.2258,1.7583,1.34492,0.70223,0.53574,0.52856,0.32015,1.67137,2.84665,1.86242,0.000676802,0.000676802,0.000676802
20,474.249,1.1974,1.66449,1.31014,0.87023,0.54146,0.57384,0.33286,1.60718,2.76145,1.79248,0.000621791,0.000621791,0.000621791
21,497.227,1.09442,2.08759,1.30594,0.68313,0.55,0.60339,0.37412,1.63953,2.6185,1.80475,0.00056678,0.00056678,0.00056678
22,521.321,1.04132,1.91084,1.28787,0.98471,0.54084,0.67053,0.38127,1.66695,2.5021,1.86408,0.000511769,0.000511769,0.000511769
23,544.398,1.06323,1.91171,1.2428,0.9966,0.6,0.66188,0.37278,1.76404,2.41985,2.04627,0.000456758,0.000456758,0.000456758
24,567.173,1.0252,1.90123,1.257,0.85302,0.51667,0.62725,0.36473,1.73442,2.42096,2.04798,0.000401747,0.000401747,0.000401747
25,590.025,0.99534,1.77068,1.21894,0.86187,0.51222,0.60461,0.36832,1.65893,2.38052,1.90772,0.000346736,0.000346736,0.000346736
26,613.16,0.97553,1.77,1.1521,0.64712,0.6,0.66062,0.4095,1.68592,2.25425,1.83119,0.000291725,0.000291725,0.000291725
27,635.73,0.89165,1.59839,1.09189,0.869,0.67327,0.7516,0.48777,1.62229,2.17059,1.72058,0.000236714,0.000236714,0.000236714
28,658.328,0.95111,1.59222,1.17968,0.92255,0.75206,0.88879,0.51615,1.52792,2.15592,1.61139,0.000181703,0.000181703,0.000181703
29,681.007,0.84999,1.60069,1.13356,0.9809,0.68975,0.88656,0.52573,1.49472,2.11162,1.60543,0.000126692,0.000126692,0.000126692
30,703.535,0.89256,1.59646,1.16758,0.9853,0.702,0.8798,0.55597,1.4756,2.0738,1.60872,7.1681e-05,7.1681e-05,7.1681e-05
